houseArea,houseAge,houseFloorSum,distance,houseBedroom,houseBathroom,houseLivingRoom,busAround,shopping_mallAround,parkAround,subwayAround,schoolAround,houseOrientation_东北,houseOrientation_东南,houseOrientation_北,houseOrientation_南,houseOrientation_南北,houseOrientation_西北,houseOrientation_西南,houseHousingPeriod_满二年,houseHousingPeriod_满五年,houseFloorType_低层,houseFloorType_高层,unitPrice
-0.20472017872365852,0.0,0.0,-0.037434934620323636,2.0,0.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,9.332469505209247
-0.11947772791618674,-0.9467649938173912,0.9648123989141196,-0.23223435081713734,2.0,1.0,2.0,10.0,10.0,1.0,2.0,1.0,0,0,0,0,1,0,0,0,1,0,1,9.457903327831136
0.3876680178768381,-0.7674820500688747,0.8751899297333335,-0.18235477209393255,3.0,1.0,2.0,10.0,3.0,0.0,1.0,3.0,0,0,0,0,1,0,0,1,0,0,1,9.53870842969938
-0.17474481140674547,0.0,0.0,0.06326047232415716,2.0,1.0,2.0,4.0,10.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,9.333972932421458
-0.5511230172797364,-1.1260479375659076,0.9648123989141196,-0.4263121229535825,2.0,0.0,2.0,10.0,10.0,0.0,1.0,5.0,0,0,0,1,0,0,0,0,1,1,0,9.438750032962892
0.2917468424627158,-0.40891616257184193,0.8751899297333335,-0.47102093109869897,2.0,1.0,2.0,10.0,10.0,6.0,0.0,10.0,0,0,0,0,1,0,0,0,0,0,0,10.275533751098848
-0.6210030923372901,-0.05035027507480913,0.6063225221909753,-0.23142792318521827,2.0,1.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.258273025731485
0.5785736384764287,0.0,0.0,-0.004784901022725768,4.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,1,0,0,0,0,0,0,0,8.9595686535445
0.23160876178315865,-0.05035027507480913,-1.0965043922439606,-0.006802623312022046,3.0,1.0,2.0,10.0,10.0,1.0,1.0,5.0,0,0,0,1,0,0,0,0,0,0,1,9.297251743965479
-0.46325772183203484,-0.9467649938173912,0.6959449913717614,-0.6264654456491329,2.0,0.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.31982238259318
-0.09980639311446253,0.0,0.0,-0.31370098578023703,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,1,0,0,0,0,0,0,0,9.275940829060131
0.2850023848164101,0.3082156124222237,0.4270775838294031,-0.5607500403180076,2.0,1.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.414994033976548
-0.11910303582472541,-0.40891616257184193,0.7855674605525474,-0.10857446058161821,3.0,1.0,2.0,10.0,10.0,1.0,0.0,10.0,0,0,0,0,1,0,0,0,1,1,0,8.94832604627298
0.014287348735538278,-0.40891616257184193,0.8751899297333335,-0.5114384941914906,2.0,1.0,2.0,10.0,10.0,4.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,0,10.388287425477728
-0.5074713886244817,0.12893266867370728,-0.4691471079784579,-0.5432887058813916,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,0,1,0,0,0,0,0,0,9.547312483639047
-0.5426924452218547,-0.9467649938173912,0.6959449913717614,-0.17494435462568447,2.0,1.0,2.0,10.0,10.0,1.0,3.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.546026585476431
-0.137275602260604,0.0,0.0,0.15069270696806167,2.0,1.0,2.0,10.0,10.0,0.0,0.0,4.0,0,0,0,1,0,0,0,0,0,0,0,9.081824949740755
-0.12491076324237738,0.12893266867370728,0.9648123989141196,0.12073415690210931,2.0,1.0,2.0,10.0,10.0,0.0,1.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.3171298661577
0.12500886176238624,-0.9467649938173912,0.9648123989141196,-0.29908798429292033,2.0,1.0,2.0,10.0,10.0,2.0,1.0,8.0,0,0,0,0,1,0,0,0,0,1,0,9.130322663990151
-0.012128443712491388,-0.05035027507480913,-1.0068819230631745,-0.6264882463426485,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.237079669165805
-0.4370292754297357,0.0,0.0,0.26432722802145925,2.0,1.0,2.0,10.0,10.0,1.0,4.0,6.0,0,0,0,1,0,0,0,0,0,0,0,9.210340371976184
-0.29239812812562965,-0.7674820500688747,-0.2002797004360996,-0.723041290149634,2.0,1.0,2.0,10.0,10.0,2.0,1.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.382864086290027
0.3648118002976918,-0.5881991063203583,0.9648123989141196,-0.2426491245557123,3.0,1.0,2.0,10.0,10.0,0.0,1.0,2.0,0,0,0,0,1,0,0,0,0,1,0,9.537195079502435
-0.28715243884516983,0.0,0.0,0.1793525349314629,2.0,1.0,2.0,10.0,10.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,9.133459327640225
0.23217079992035078,3.3560256561470028,0.6063225221909753,-0.7274015362662577,3.0,1.0,2.0,10.0,10.0,2.0,4.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.343209045050607
-0.031237740377023725,-0.22963321882332555,-1.0068819230631745,-0.6464089668065489,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,0,1,0,0,0,0,0,0,9.136586183387521
-0.21221402055288693,0.0,0.0,0.10804437328779182,2.0,1.0,2.0,10.0,10.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,9.245514446983837
-0.3834483063507534,-0.05035027507480913,0.337455114648617,-0.40178124651065994,2.0,1.0,2.0,10.0,10.0,2.0,0.0,9.0,0,0,0,1,0,0,0,1,0,0,0,9.517236663351769
0.05007044347010331,-0.22963321882332555,0.24783264546783088,-0.37259449547954804,2.0,1.0,2.0,10.0,10.0,2.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,0,9.241645221804594
-0.11610549909303415,0.0,0.0,0.03687336005235779,2.0,1.0,2.0,10.0,10.0,0.0,0.0,8.0,0,0,0,1,0,0,0,0,0,0,0,9.226213721132472
-0.8608060308725957,-0.7674820500688747,1.8610370907219806,-0.6997371056034567,1.0,0.0,1.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.766922993079902
0.28294157831337263,-0.22963321882332555,0.7855674605525474,-0.14676024240993008,3.0,1.0,2.0,10.0,10.0,1.0,3.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.578311275656766
-0.17849173232135965,-0.9467649938173912,0.24783264546783088,-0.5129662996842501,2.0,1.0,2.0,10.0,10.0,1.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.246672301223573
-0.5580548209717725,-0.40891616257184193,0.9648123989141196,-0.5792113689663331,2.0,0.0,2.0,10.0,10.0,5.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.728240909414135
0.24753317567026867,-0.5881991063203583,-1.454994268967105,0.14005775076118898,3.0,1.0,2.0,10.0,10.0,2.0,3.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.77440339912459
0.12913047476846176,0.12893266867370728,0.9648123989141196,-0.31644388567496873,3.0,1.0,2.0,5.0,10.0,4.0,0.0,7.0,0,0,0,0,1,0,0,0,1,0,1,9.582868979838082
-0.5861567278313786,-0.40891616257184193,0.9648123989141196,-0.488486671323186,2.0,0.0,2.0,10.0,10.0,3.0,3.0,10.0,0,0,0,1,0,0,0,0,1,0,1,9.448648359810164
0.045761484418296965,-0.22963321882332555,-1.544616738147891,-0.0594318693678878,2.0,1.0,2.0,6.0,10.0,1.0,0.0,9.0,0,0,0,0,1,0,0,0,0,1,0,9.28859686994195
0.39722266620910396,-0.05035027507480913,0.7855674605525474,-0.255194710592907,2.0,1.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.164191715950203
0.07442542941509521,-0.9467649938173912,0.8751899297333335,-0.2423620838285577,3.0,1.0,2.0,10.0,10.0,0.0,1.0,2.0,0,0,0,0,1,0,0,0,1,0,1,9.600285668426311
-0.35609578367407024,-0.22963321882332555,0.7855674605525474,-0.7554854042431596,2.0,1.0,2.0,10.0,10.0,3.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.383200644980624
-0.14158456131241035,-0.5881991063203583,0.8751899297333335,-0.35813154477361225,2.0,1.0,2.0,10.0,10.0,5.0,3.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.684522758043336
-0.54943690286816,0.6667814999192565,-1.454994268967105,-0.9074386436484343,2.0,0.0,2.0,10.0,10.0,0.0,3.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.292104673778823
0.06168589830540725,-0.40891616257184193,0.5167000530101892,-0.394193432259722,2.0,1.0,2.0,10.0,10.0,2.0,4.0,10.0,0,0,0,0,1,0,0,1,0,0,1,9.19755903761145
-0.5108436174476343,-0.9467649938173912,0.9648123989141196,0.14513293271712954,2.0,0.0,2.0,10.0,10.0,3.0,2.0,4.0,0,0,0,0,1,0,0,0,1,0,1,9.39897529082673
-0.48536455522825817,0.3082156124222237,0.9648123989141196,-0.2813167478075262,2.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,9.226508953137767
-0.04135442684648177,-1.8431797125599731,0.7855674605525474,-0.3865425746830561,2.0,1.0,2.0,10.0,10.0,1.0,3.0,7.0,0,0,0,0,1,0,0,0,1,0,0,9.390325868972589
0.15348546071345393,-0.9467649938173912,0.9648123989141196,0.04677606512052918,3.0,1.0,2.0,10.0,10.0,1.0,0.0,8.0,0,0,0,1,0,0,0,0,1,1,0,9.328478899993224
-0.11760426745887978,0.12893266867370728,-0.1106572312553135,-0.9716335432604359,2.0,1.0,2.0,10.0,10.0,0.0,4.0,10.0,0,0,0,0,1,0,0,0,0,0,0,9.259987311865597
-0.1385870245807188,-1.305330881314424,-0.1106572312553135,0.04106003574714522,2.0,1.0,2.0,10.0,10.0,2.0,1.0,10.0,0,0,0,1,0,0,0,1,0,1,0,9.399058096275375
-0.24031592741249302,-0.7674820500688747,2.129904498264339,-0.6268770337416871,2.0,1.0,2.0,10.0,10.0,2.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.752373922866367
-0.5953366840721834,-0.05035027507480913,0.6063225221909753,-0.4457749003203959,1.0,0.0,2.0,10.0,10.0,0.0,4.0,10.0,0,0,0,1,0,0,0,0,1,0,1,9.521787797978225
-0.2506199599276819,-1.1260479375659076,0.6063225221909753,-0.04612201947352616,2.0,0.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,1,0,0,0,1,0,1,0,9.255313737618915
0.16453887741156573,-0.7674820500688747,0.9648123989141196,-0.15477223390765021,3.0,1.0,2.0,10.0,10.0,3.0,0.0,2.0,0,0,0,1,0,0,0,0,1,1,0,8.9614943233096
0.33539847111797033,1.383913274913322,-0.558769577159244,-0.25716780463690886,3.0,1.0,2.0,10.0,10.0,1.0,2.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.094705028377259
0.12500886176238624,-1.1260479375659076,0.9648123989141196,0.19016526790199326,3.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,1,0,0,0,0,0,1,0,9.043340831280013
-0.6288716262579799,-0.7674820500688747,0.9648123989141196,-0.24340836973378824,2.0,0.0,2.0,10.0,10.0,1.0,1.0,8.0,0,0,0,0,1,0,0,0,1,0,0,9.119977931895791
0.092410649805243,-0.9467649938173912,0.6959449913717614,-0.29319957025911325,3.0,1.0,2.0,10.0,10.0,5.0,0.0,3.0,0,0,0,0,1,0,0,0,1,0,0,9.333088837235236
-0.008943560935069598,1.0253473874162893,-0.558769577159244,-0.34487295269086765,2.0,1.0,2.0,10.0,10.0,1.0,0.0,10.0,0,0,0,0,1,0,0,0,0,0,1,9.144414221860016
0.11751501993315783,0.3082156124222237,-0.4691471079784579,-0.5815435156564627,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.251194365984448
0.13737370078061284,-0.7674820500688747,0.8751899297333335,-0.26231614240322276,3.0,1.0,2.0,10.0,10.0,4.0,0.0,10.0,0,0,0,0,1,0,0,0,0,1,0,9.228180290104513
0.34532781154169784,-0.22963321882332555,0.9648123989141196,-0.5062015424855869,3.0,1.0,2.0,10.0,10.0,3.0,0.0,10.0,0,0,0,1,0,0,0,0,1,1,0,9.544524278079383
-0.6798297506967322,-1.1260479375659076,-0.9172594538823884,-0.13895563220732945,2.0,0.0,2.0,10.0,10.0,2.0,0.0,8.0,0,0,0,0,1,0,0,0,1,0,0,9.531481398171628
-0.13259195111733632,-1.305330881314424,0.7855674605525474,-0.23269329800026317,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,1,0,0,0,0,1,1,0,9.57858809226753
-0.3909421481799818,-0.7674820500688747,-0.558769577159244,0.11241626268844941,2.0,0.0,2.0,6.0,10.0,0.0,1.0,1.0,0,0,0,1,0,0,0,0,1,0,1,9.194007717355285
-0.023369206456333988,1.0253473874162893,0.4270775838294031,-0.5232735433668099,2.0,1.0,2.0,10.0,10.0,1.0,3.0,10.0,0,0,0,1,0,0,0,0,1,0,1,9.529666449762425
0.2746983523012215,-1.1260479375659076,2.129904498264339,-0.6051028316701378,3.0,1.0,2.0,10.0,10.0,4.0,1.0,10.0,0,0,0,1,0,0,0,0,0,0,0,10.082261156114397
0.349824116639235,-0.7674820500688747,-1.9927290840518215,0.14878116648176426,4.0,2.0,2.0,0.0,10.0,0.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,0,9.458527693729824
-0.10992307958392085,-0.05035027507480913,-1.544616738147891,-0.22223748349550626,2.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,1,0,8.998136760700307
-0.09980639311446253,-0.9467649938173912,0.9648123989141196,-0.01879662807788234,2.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.313348122050412
0.2673918565177237,-0.5881991063203583,0.6959449913717614,-0.5681986106941728,2.0,1.0,2.0,10.0,10.0,4.0,0.0,8.0,0,0,0,0,1,0,0,0,1,0,1,9.506362568702965
-0.34616644325034274,2.280327993655904,-1.544616738147891,-0.5740139933580994,2.0,1.0,2.0,10.0,10.0,3.0,3.0,10.0,0,1,0,0,0,0,0,0,1,0,0,8.976767625171433
0.3886047481054913,-1.1260479375659076,0.6959449913717614,0.1571846377941114,3.0,1.0,2.0,7.0,1.0,0.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.082734247371036
-0.24968322969902837,-0.9467649938173912,0.4270775838294031,0.03408993691430675,3.0,1.0,2.0,10.0,10.0,1.0,2.0,4.0,0,0,0,0,1,0,0,1,0,0,0,9.226607344440055
-0.3577818980856464,-0.22963321882332555,0.6063225221909753,-0.5133551235619173,2.0,1.0,2.0,10.0,10.0,3.0,0.0,6.0,0,0,0,0,1,0,0,0,1,0,0,9.308736693832376
0.31816263491074553,-0.9467649938173912,0.9648123989141196,-0.3064718282089132,2.0,1.0,2.0,10.0,10.0,2.0,2.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.322775801305971
-0.040792388709289626,-0.40891616257184193,-0.558769577159244,-0.048493226467978094,3.0,1.0,2.0,10.0,10.0,0.0,0.0,2.0,0,0,0,0,1,0,0,0,1,0,1,9.354960061586127
-0.5067220044415588,0.6667814999192565,-0.4691471079784579,-0.21193141144190186,1.0,0.0,2.0,10.0,10.0,4.0,1.0,3.0,0,0,0,0,1,0,0,0,1,0,1,9.314069557738659
-0.729289106769639,-0.7674820500688747,0.9648123989141196,0.21853982912209657,2.0,0.0,2.0,10.0,10.0,1.0,0.0,1.0,0,0,0,0,1,0,0,0,1,0,1,8.994296557777195
0.3164765204991691,-0.22963321882332555,-1.3653717997863188,-0.3974346808092507,2.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.119211438565081
-0.137275602260604,-0.9467649938173912,0.9648123989141196,-0.013810374718141952,3.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.332026890232783
-0.27703575237571154,-0.22963321882332555,0.337455114648617,0.09402270766371901,2.0,0.0,2.0,10.0,10.0,2.0,0.0,10.0,0,0,0,1,0,0,0,0,1,0,1,8.986946789406764
-0.027490819462409527,0.4874985561707401,0.8751899297333335,-0.48229072757887576,2.0,1.0,2.0,10.0,10.0,3.0,4.0,10.0,0,0,0,1,0,0,0,0,1,1,0,9.178230318057949
0.26926531697503064,-1.305330881314424,0.15821017628704478,0.007679670867226265,3.0,1.0,2.0,10.0,10.0,2.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.460320577243952
-0.10074312334311603,-0.9467649938173912,0.5167000530101892,-0.30971216921042294,2.0,1.0,2.0,10.0,10.0,3.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.899680314193175
0.12519620780811677,-0.22963321882332555,-0.4691471079784579,0.10396811545375907,3.0,1.0,2.0,10.0,10.0,2.0,2.0,7.0,0,0,0,1,0,0,0,0,1,1,0,9.284426915328881
0.12669497617396266,1.9217621061588714,-1.0068819230631745,-0.590304776524253,2.0,1.0,2.0,10.0,10.0,2.0,4.0,10.0,0,0,0,1,0,0,0,0,1,0,0,9.00565049932022
-0.11235857817841996,1.5631962186618384,-1.544616738147891,-0.34548604452445025,4.0,1.0,2.0,10.0,10.0,2.0,0.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.224539091375995
-0.6895717450747292,0.3082156124222237,-0.4691471079784579,-0.5923180330204186,2.0,0.0,2.0,10.0,10.0,6.0,1.0,10.0,0,0,0,1,0,0,0,0,1,0,1,9.132054453577638
-0.11367000049853478,-0.7674820500688747,0.6959449913717614,0.024448416505444808,3.0,1.0,2.0,10.0,10.0,0.0,0.0,10.0,0,0,0,1,0,0,0,1,0,0,1,9.010302809376448
0.39478716761460486,-0.05035027507480913,0.4270775838294031,-0.36184201211326855,3.0,1.0,2.0,10.0,10.0,2.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.361773075736393
-0.5085954648988658,-0.40891616257184193,0.8751899297333335,-0.1150431876993052,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,1,0,0,0,0,1,1,0,9.165970424240243
0.20575500747232112,0.6667814999192565,0.4270775838294031,-0.5287521335473362,3.0,1.0,2.0,10.0,10.0,2.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,0,9.434203664214742
0.3249070925570507,-0.40891616257184193,-0.02103476207452741,-0.4973927115355898,2.0,1.0,2.0,10.0,10.0,1.0,1.0,10.0,0,0,0,0,1,0,0,0,1,0,1,9.36990494164752
0.13868512310072767,-0.9467649938173912,0.9648123989141196,-0.5380133611231778,2.0,1.0,2.0,10.0,10.0,4.0,0.0,10.0,0,0,0,0,1,0,0,0,1,1,0,9.869827351043494
-0.4229783219999326,-0.7674820500688747,0.8751899297333335,-0.15948691459605405,2.0,1.0,2.0,10.0,10.0,0.0,2.0,10.0,0,0,0,1,0,0,0,0,1,0,0,9.76249985923515
0.49970095322380087,-0.05035027507480913,-1.8134841456902493,0.21179441963120982,3.0,2.0,2.0,7.0,10.0,0.0,0.0,3.0,0,0,0,1,0,0,0,0,0,0,0,8.900276348631271
