ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
75,蔡甸蔡甸城区茂林路9号福晟滨江国际,114.03358908992269,30.58545201661601,5745,51.0,88.78,3,6,南北,6.0,1,满二年,高层,33.0
76,黄陂盘龙城腾龙大道龙城汇萃园,114.27539089042868,30.716588768511954,8687,76.0,87.49,3,6,南,5.0,0,,高层,31.0
77,汉阳鹦鹉晴川大道与显正街交汇处中海寰宇天下,114.26114312437804,30.549598665949397,18549,230.0,124.0,3,7,南北,,0,,,
78,武昌南湖花园恒安路77号宝安花园,114.30741610923432,30.510152476753877,20390,174.0,85.34,2,5,南,24.0,1,满五年,高层,6.0
79,江岸后湖青松路259号融创融公馆(二期),114.25491498844616,30.64215944864217,15433,189.0,122.47,3,7,南,5.0,1,满二年,高层,34.0
80,江汉常青常青路167号万科城,114.2297780429906,30.62852237694473,15448,140.0,90.63,2,5,东南,10.0,0,,低层,23.0
81,江岸百步亭解放大道轻轨1号线滕子岗站约700米幸福湾·星语,114.34001000636634,30.683617579398334,21072,177.0,84.0,2,5,南北,,0,,,
82,江岸百步亭温馨路35号幸福时代(四期),114.3058423960864,30.659333045346017,16302,145.0,88.95,3,6,南,8.0,1,满二年,低层,34.0
83,洪山白沙洲烽胜路20号保利上城东区,114.28622888209608,30.498030245338757,12907,123.0,95.3,3,6,南,8.0,1,满二年,中层,34.0
84,洪山九峰山森林公园希琥路与纹璜街交汇处（花山河地铁站旁）联投·花山河,114.50997249632148,30.542558551724923,14041,139.0,99.0,3,7,南北,,0,,,
85,江岸百步亭温馨路花样年花好园东区,114.30572991907,30.65387969191684,18009,179.0,99.4,3,6,南,1.0,1,,高层,33.0
86,江汉汉口火车站常青一路157-7号万科锦园,114.25098068069836,30.624093864865,14302,117.0,81.81,2,5,西南,5.0,0,,高层,42.0
87,洪山光谷东高新二路333号朗诗里程,114.5143291620175,30.47920462831245,13043,110.0,84.34,2,5,南,10.0,1,满五年,低层,34.0
88,汉阳鹦鹉拦江路193号鹦鹉花园,114.26624596596548,30.543413252399034,14917,185.0,124.02,3,7,南北,25.0,1,满二年,中层,8.0
89,黄陂横店红寨路中南拂晓城(109地块),114.26558876282596,30.762817552358477,6638,75.0,113.0,3,7,南北,4.0,1,,中层,15.0
90,武昌水果湖八一路87号银海华庭,114.33805355561762,30.54125198634661,19393,268.0,138.2,3,6,南北,21.0,1,满五年,高层,26.0
91,青山和平大道建设一路8号东兴天地C区,114.36342022128824,30.628968733027182,13005,117.0,89.97,2,5,南,14.0,1,满二年,中层,31.0
92,洪山珞狮南路雄楚大道万科翡翠云台,114.35501960259296,30.504476908338702,33941,365.0,107.54,2,6,南北,5.0,0,满五年,低层,11.0
93,黄陂盘龙城乘龙路天汇龙城龙华苑,114.26688248653622,30.71659287115124,8219,84.0,102.21,3,6,南,2.0,0,,高层,16.0
