ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
96,拱墅万达广场祥兴路禹洲宋都望林府,120.10652429316727,30.333654856863646,42393,409,96.48,3,7,南,1.0
97,"富阳银湖美达路,近向阳路银湖新语公寓",120.15349872850119,30.37762296888901,18986,180,94.81,3,7,南,1.0
98,钱塘下沙江滨听涛路174号野风海天城,120.38092336944864,30.30190787802288,21611,245,113.37,3,6,南北,17.0
99,"临平临平新颜南路,近龙兴路赞成龙兴道一号",120.31305069396004,30.427051425641206,18834,165,87.61,3,6,南,8.0
100,西湖文教文三路109号文三新村,120.14126436638058,30.279173515463828,58295,480,82.34,3,5,南,36.0
101,"萧山新街104国道辅路,近03省道得力名望府",120.32503032431268,30.181390266861072,25109,225,89.61,3,7,南,7.0
102,萧山蜀山市心南路绿城九龙仓桂语朝阳(公寓住宅),120.26821570499669,30.1890348313345,32810,290,88.39,3,6,南,3.0
103,拱墅半山沈半路宋都香悦郡,120.16954149030038,30.346618288667766,30245,268,88.61,3,6,南,8.0
104,临平崇贤崇昌路悦贤里(公寓住宅),120.1509696374144,30.38476099131125,24735,219,88.54,3,7,南,4.0
105,滨江长河绿香街358号长兴苑小区,120.18820101739635,30.180282409828873,25701,220,85.6,2,5,南,18.0
106,余杭五常文一西路822号远洋西溪公馆(公寓住宅),120.0386926857675,30.28618744000225,33528,300,89.48,3,6,南,4.0
107,临平临平北顺风路万陈花苑,120.26251859449167,30.441417197079165,14571,119,81.67,2,5,南,13.0
108,"西湖之江度假区之浦路,近枫桦路恒大水晶国际广场",120.10302815126175,30.159802536041507,40019,350,87.46,3,6,南,5.0
109,"钱塘下沙江湾24号大街,近20号大街保利东湾(西区)",120.36896510242136,30.27672113499067,21187,200,94.4,3,7,南,14.0
110,滨江钱江湾东信大道92号中海钱塘山水(公寓住宅),120.12793417823738,30.177322935897987,48903,430,87.93,4,8,南,15.0
111,上城丁桥长睦路北城枫景园(公寓住宅),120.23793460518351,30.36543323640197,18318,108,58.96,2,4,南,12.0
112,"滨江长河时代大道,近天马路中南白马湖壹号(公寓住宅)",120.17903333735107,30.15056809981972,31902,286,89.65,3,7,南,7.0
113,富阳东洲东桥路169号融创微风之城(公寓住宅),120.03754051838509,30.082997548145055,23185,310,133.71,4,9,南,3.0
114,"临平临平康信路,近兴盛路野风启城",120.22476424014766,30.4582910305483,15947,135,84.66,3,6,南,11.0
115,"萧山北干博奥路,近金惠路江南之星",120.23779818934861,30.190345346024802,43395,385,88.72,3,7,东西,5.0
116,临平临平北东湖北路嘉丰万悦城(南区),120.29630982791045,30.461529152727078,16902,150,88.75,3,7,南,8.0
117,上城九堡客运站杭海路合生创展名邸,120.2617093086649,30.31486939022177,40542,560,138.13,4,8,南,1.0
118,余杭闲林闲沈路绿城桃源小镇东方苑,119.96220031649145,30.229138171226953,20136,169,83.93,3,6,南,8.0
119,"余杭老余杭太炎路,近余彭路众安绿城南湖明月(公寓住宅)",119.92167609142291,30.278096239732022,20000,175,87.5,3,7,南,2.0
120,上城丁桥大农港西路1296号阳光城翡丽湾,120.20103977253207,30.3493128042462,30184,268,88.79,4,7,南,8.0
121,余杭老余杭狮山路307号同城印象(西区),119.94406922957549,30.271477170884264,18601,155,83.33,2,5,南北,15.0
122,滨江彩虹城滨盛路4402号钱江水晶城,120.1514912011175,30.19039755122702,75722,630,83.2,3,7,南,16.0
123,萧山义桥时代大道6588号绿都御景蓝湾(公寓住宅),120.18230689998863,30.08506366810698,23360,205,87.76,3,7,南,9.0
124,萧山开发区建设一路万科海上明月,120.24809612117328,30.195518273618156,37782,340,89.99,3,7,南,5.0
125,钱塘大江东宝龙北路江与珑府(公寓住宅),120.48749352520547,30.274834760376304,20876,185,88.62,3,7,南北,7.0
126,"上城艮北新城建华路,近三官塘路越秀招商天悦江湾(公寓住宅)",120.23542061041746,30.30012452262335,50342,560,111.24,3,7,南北,4.0
127,西湖西湖三墩古墩路秀月家园南区,120.09075836552805,30.322062555642784,25667,210,81.82,3,5,南,17.0
128,"临平乔司迎宾路,近1号路保亿风景晨园(公寓住宅)",120.29370143099419,30.371455833917956,22266,195,87.58,3,6,南,9.0
129,余杭中泰中泰路清水湾山水苑(公寓住宅),119.9170167822865,30.241926931685622,17177,155,90.24,3,6,南,16.0
130,萧山新街建设四路中南君奥时代,120.3237078887065,30.199509512805967,28575,248,86.79,3,7,南北,4.0
