,ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
78,79,海淀五棵松太平路33号太平路33号院,116.2521951132675,39.89923493385967,107191,568.0,52.99,2,4,南北,34.0
79,80,"朝阳劲松农光路,近武圣路农光里中社区",116.46001669915364,39.87905283042127,47393,388.0,81.87,2,4,东,26.0
80,81,朝阳望京南湖北路南湖东园一区,116.45907972996571,40.00160769736812,60104,580.0,96.5,2,6,西南,27.0
81,82,丰台角门马家堡东路101号阳光花园(马家堡101号院),116.37605900897084,39.843158851050646,68165,628.0,92.13,2,4,南北,13.0
82,83,丰台北大地北大地三里16号北大地三里16号院,116.27237395064545,39.852936626001934,61810,498.0,80.57,3,6,南北,25.0
83,84,朝阳望京南湖北路南湖中园(一区),116.45563010646994,40.001960208307835,59867,449.0,75.0,2,4,东西,25.0
84,85,朝阳北苑春华路茉藜园,116.41783831234379,40.03807093436158,43753,430.0,98.28,2,5,东南,19.0
85,86,昌平霍营良庄西街龙跃苑(东五区),116.35014082379634,40.071225769596964,43951,425.0,96.7,2,4,南北,19.0
86,87,朝阳和平街和平街和平街十二区,116.41956392582634,39.966068312298475,79672,660.0,82.84,3,6,南北,44.0
87,88,西城百万庄扣钟北路北露园,116.33501977035195,39.924810765401126,93451,585.0,62.6,2,4,西北,31.0
88,89,海淀五棵松西翠路5号今日家园,116.27564579531541,39.900191501904935,82739,649.0,78.44,1,3,西,22.0
89,90,朝阳百子湾广渠路建工动力港,116.48582838673299,39.89675927509253,60420,530.0,87.72,2,4,南北,7.0
90,91,朝阳甘露园甘露园南里25号朝阳园,116.51125021615148,39.91677399199566,64706,550.0,85.0,2,4,西北,21.0
91,92,通州潞苑潞苑南大街珠江丽景家园,116.67645892610737,39.93049166155948,35317,330.0,93.44,3,5,南北,11.0
92,93,朝阳朝青板块黄衫木店路186号富华家园,116.52362021648305,39.92106895876478,55235,430.0,77.85,2,4,南,24.0
93,94,海淀牡丹园花园路5号花园路5号院,116.35860448941776,39.97328279403161,84526,508.0,60.1,2,4,南北,32.0
94,95,朝阳东坝管庄路(旧:和敬路4号院)北京城建福润四季A区,116.57199964185376,39.95727903765711,49862,449.0,90.05,3,5,西南,8.0
95,96,朝阳亚运村大屯路安慧北里安园,116.40427098853212,39.999415589390146,68874,620.0,90.02,3,5,南北,28.0
96,97,海淀清河龙岗路宝盛里,116.3626658736914,40.03379707079005,56606,488.0,86.21,2,5,南北,28.0
97,98,大兴亦庄泰河一街南海家园七里,116.49056892518549,39.755825240572975,46775,435.0,93.0,3,6,南北,11.0
98,99,西城广安门外红居南街红居南街5-11号小区,116.33462319848242,39.88011431645646,74333,426.0,57.31,2,4,东,32.0
