ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge
167,建邺奥南平良大街43号莲花新城南苑,118.74493809190663,32.02106782851962,16924,148,87.45,3,5,南,12.0
168,滨江开发区滨江润寿北路599号禹洲弘阳滨湖里,118.58871479187445,31.854589943972503,10731,120,111.83,3,5,南北,8.0
169,玄武月苑月苑南路1号玄武映,118.82118549463688,32.10058015849747,40650,398,97.91,3,6,南,3.0
170,六合雄州莉湖路38号荣盛莉湖春晓,118.8334757344248,32.32369112533122,13588,116,85.37,3,6,南北,8.0
171,栖霞尧化门尧顺路9号新城金郡,118.88835761038453,32.1339643048548,18300,175,95.63,3,5,南北,11.0
172,六合雄州雄州东路99号丽岛新苑,118.84396719705418,32.33613019286016,8929,75,84,2,5,南北,7.0
173,鼓楼五塘广场幕府西路28号幕府佳园,118.7671841076449,32.11121205174754,26824,228,85,3,5,南北,24.0
174,六合葛塘葛中南路600号仁锦苑(B区),118.72008628088538,32.2236897575421,10639,100,94,3,5,南北,8.0
175,秦淮月牙湖苜宿园大街89号紫金名门(商住楼),118.82472967850447,32.02480163560683,14781,160,108.25,3,5,南北,14.0
176,江宁东山新亭西路龙湖春江郦城锦宸苑,118.83157080068963,31.944529803018277,40458,350,86.51,3,7,南北,6.0
177,栖霞迈皋桥兴卫路2号嘉誉山E区(一期),118.83487796039469,32.109776407465006,25499,220,86.28,2,5,南,6.0
178,滨江开发区谷里向阳路28号南京碧桂园丽华山苑,118.69759684830659,31.88570158219161,12636,139,110.01,3,6,南北,6.0
179,江宁百家湖上元大街88号金王府小区,118.81873533980624,31.951527838280708,23684,220,92.89,3,6,南北,19.0
180,栖霞仙林湖学森路200号保利罗兰香谷,118.98030176534814,32.13427353699002,22387,197,88,3,6,南北,6.0
181,秦淮大校场苏家桥路6号复地宴南都,118.80009106450976,31.984508387661155,39740,488,122.8,3,7,南北,6.0
182,栖霞晓庄迈尧路611号乐居雅花园(一期),118.84358075932596,32.13167900144055,15956,142,89,3,6,南,12.0
183,江宁科学园莱茵达路15号广汇花园,118.84972481403922,31.947345682044528,21953,233,106.14,3,6,南北,17.0
184,栖霞迈皋桥寅春路瑞福城凤仪园,118.84500201990538,32.11647401563698,17635,154,87.33,3,5,南北,6.0
185,江宁科学园科建路699号云逸都荟花园西园,118.8589407393457,31.932705555650053,26142,249,95.25,3,6,南北,2.0
186,雨花台铁心桥冯韦路16号龙湖天钜,118.73193818382927,31.95971492611847,37414,328,87.67,3,6,南北,4.0
187,玄武月苑过街山路29号中海玄武公馆A区,118.81487443856423,32.09963774899338,42323,409,96.64,3,6,南北,6.0
188,江宁麒麟科技城麒东路138号锦绣花园,118.92826240019885,32.05964997521712,11591,86,74.2,2,5,南北,17.0
189,浦口高新区侨康路17号弘阳时光里一期,118.70524660493645,32.18276006439353,20747,190,91.58,4,7,南北,8.0
190,鼓楼五塘广场幕府东路55号旭日景城,118.77913564974916,32.116719754939204,32378,395,122,3,7,南北,24.0
191,栖霞燕子矶门坡街19号紫御东方(二期),118.82862268531599,32.1396442471917,26154,204,78,3,6,南,4.0
192,栖霞仙林湖守敬路1号万科金色领域,118.97836110996388,32.135294160696944,23567,210,89.11,3,6,南北,8.0
193,浦口顶山华府路21号江畔雅居,118.69428556579194,32.09555798167214,13505,158,117,3,7,南北,4.0
194,建邺奥南青莲街58号鲁能公馆(建邺),118.72678709966794,32.005731673444245,37978,450,118.49,3,7,南北,7.0
195,江宁科学园湖山路419号天景山公寓佳福苑,118.87170927084084,31.94805094583153,15914,148,93,3,5,南,12.0
196,秦淮大光路龙蟠中路459号枫丹白露城市花园,118.79525430849095,32.02063924718973,41976,550,131.03,3,7,南北,20.0
197,秦淮光华门大阳沟28号御道嘉庭,118.80766987022194,32.02813503556554,35199,380,107.96,3,7,南北,4.0
198,浦口高新区杨新路5号鑫庭雅苑,118.72531503352964,32.211894374852186,9641,77.5,80.39,2,5,南北,16.0
199,栖霞燕子矶笆斗山路4号电建洺悦府(二期),118.84353423121571,32.13510379171799,22506,235,104.42,3,7,南北,4.0
200,栖霞迈皋桥华银路20号燕升园2园,118.85332677390923,32.113287845515465,14849,98,66,2,4,南,14.0
201,江宁东山通湖路18号石羊新寓,118.84919907323354,31.96417539026025,20909,192,91.83,2,5,南北,12.0
202,江宁麒麟科技城泰盈路阳光之旅,118.9286793972998,32.05344426997833,11069,163,147.27,3,7,南,6.0
203,"浦口桥北滨江大道,近明将路明发滨江新城(一期)",118.7397557619304,32.12915565803076,17748,208,117.2,3,7,南北,18.0
204,江宁百家湖天元西路88号文化名园,118.80352317624595,31.93231406531564,21939,299,136.29,3,7,南北,19.0
205,鼓楼宁海路南东瓜市南东瓜市小区,118.7677358520239,32.05424370707028,40917,275,67.21,3,5,南,36.0
206,浦口顶山天朗街1号绿地海悦(南区B1),118.68374144638494,32.080664532989886,26289,255,97,3,6,南,9.0
207,鼓楼五塘广场幕府西路55号恒盛嘉园,118.76610265857498,32.104148751399606,22353,190,85,3,6,南北,17.0
208,雨花台能仁里长虹路亚东观樾,118.76109591458396,32.009228241038514,39425,359,91.06,3,5,南,7.0
209,鼓楼宁海路汉口西路124号汉口西路124号小区,118.76381213976317,32.05697899584102,85332,338,39.61,1,3,南,44.0
210,"秦淮月牙湖光华路,四方巷四方新村五村",118.83436964515194,32.017610157064134,23970,214,89.28,3,7,南,26.0
211,栖霞尧化门前塘路18号金地明悦和苑,118.88131223343697,32.135314876331634,13606,118,86.73,3,5,南北,11.0
212,玄武月苑营苑南路1号雯锦雅苑,118.82774277648967,32.10425868225708,20953,220,105,3,5,南,19.0
213,秦淮大校场汇康路99号保利堂悦,118.8006587581482,31.98260306808872,34350,285,82.97,3,6,南北,6.0
214,浦口桥北大桥北路桥北新村,118.73101211753156,32.13430850832186,13462,108,80.23,2,5,南,22.0
215,浦口高新区侨康路15号绿地悦峰公馆,118.70810487728961,32.18273213697146,25347,225,88.77,3,6,南北,7.0
216,建邺奥南螺塘路38号升龙天汇珑悦,118.69286505596877,31.967027950577727,42425,350,82.5,2,5,南北,9.0
217,秦淮卡子门大明路238号风光里小区,118.80013880328544,31.99926004280529,30160,267,88.53,3,5,南北,18.0
218,鼓楼五塘广场幕府西路88号江雁依山郡,118.76448416467107,32.10905673491165,32106,388,120.85,3,7,南北,13.0
219,"栖霞摄山星城天佐路,近天佑路晶都茗苑",118.98791970572304,32.14233134830691,8858,62,70,2,4,南北,6.0
220,鼓楼许府巷黑龙江路17号汇林绿洲上林苑,118.77181384507685,32.088496846183574,37079,330,89,2,5,南北,21.0
221,六合大厂葛中北路99号怡景佳园(六合),118.74483977491194,32.247644339355965,11734,110,93.75,3,6,南北,8.0
222,建邺奥南双龙路69号招商雍和府,118.68562891323042,31.971336311584942,38206,460,120.4,3,7,南北,7.0
223,溧水溧水区星河路8号万科未来城,119.03359039754527,31.68451010023573,7847,77,98.13,3,7,南北,1.0
224,栖霞仙林大学城仙隐北路18号亚东城(西区),118.90436820379497,32.09235925160663,26316,249,94.62,2,5,南,15.0
225,浦口桥林新城金穗路39号科成苑,118.56555851142012,31.968346632747842,7192,64,89,2,5,南北,2.0
226,栖霞马群中山门大街698号中垠紫金观邸,118.89013515481119,32.04862583484688,25695,232,90.29,3,6,南北,7.0
227,六合龙池龙脊路1号荣盛龙湖一号文墨花苑,118.81650928734659,32.33235142001219,10395,79,76,2,5,南北,8.0
228,栖霞燕子矶和燕路498号大发燕澜湾(西区),118.81895061860114,32.1359473083986,26507,308,116.2,3,6,南,11.0
