ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
138,思明禾祥东路金榜路61-67号凯旋广场,118.10505026551644,24.471609660532984,55046,558.0,101.37,3,7,南北,24.0,1,满二年,高层,31.0
139,湖里殿前长乐路263-307号(单号)长乐村一期,118.09798213395008,24.523407171426367,34723,175.0,50.4,2,5,南,26.0,1,,高层,7.0
140,集美集美新城杏北八里35-42号国贸天峯,118.04996989801369,24.58513575549836,37814,368.0,97.32,3,7,南,6.0,1,满二年,中层,34.0
141,"翔安翔安新城浦滨路,洞庭路国贸学原(一二期)",118.25288536786624,24.575780251739054,34634,365.0,105.39,3,7,南,2.0,1,,低层,34.0
142,思明东浦路厦禾路1126号富兴大厦,118.11506109300896,24.475872929753628,42407,518.0,122.15,4,8,南北,20.0,1,满五年,低层,28.0
143,湖里殿前长浩二里1-65号翔鹭花城三期,118.09902511360517,24.529384750770795,36109,203.0,56.22,2,4,南,15.0,1,满五年,高层,14.0
144,湖里湖里大道华荣路178-188号铭爵山庄,118.10322953771964,24.520358440939937,34159,160.0,46.84,2,4,北,23.0,1,满五年,中层,15.0
145,湖里南山宜宾路62-84号万景花园,118.10492543412066,24.50840712505821,36112,500.0,138.46,4,8,南,26.0,1,满五年,低层,7.0
146,"思明松柏侨岳里11-16,34-54号侨建花园(东区)",118.11010899500316,24.49701631866732,36638,299.0,81.61,3,5,南,28.0,1,满五年,低层,8.0
147,湖里东渡东渡路100号源昌大厦,118.07608585016888,24.489188929325923,42790,508.0,118.72,3,7,东南,18.0,1,满二年,低层,30.0
148,翔安新店洪琳湖一里1-28号首开领翔国际(一期),118.23666039367968,24.609402993387093,16195,198.0,122.26,3,7,南北,11.0,0,满二年,高层,27.0
149,湖里湖边水库片区金益三里1-14号湖边花园A区,118.1709084534514,24.505571608670884,48931,350.0,71.53,3,6,南北,14.0,0,,低层,31.0
150,思明禾祥西路禾祥西路116-182号美仁新村南区,118.08478391091802,24.46826126323823,48415,539.0,111.33,3,5,南北,32.0,1,满二年,低层,7.0
151,翔安新店祥吴一里1-10号美地雅登祥吴一里,118.23525361103268,24.628483469980605,18810,145.0,77.09,2,5,南,15.0,0,满五年,高层,25.0
152,翔安翔安新城浦滨西二里1-21号国贸学原(三期),118.25029336616436,24.577670478842183,35640,255.0,71.55,2,5,南,2.0,1,,低层,34.0
153,湖里吕厝江头西路1-19号新景园,118.12479515470751,24.49506257335558,43744,588.0,134.42,4,8,南,19.0,1,满二年,高层,29.0
154,思明将军祠白鹤山路3-47号白鹤山路3-47号小区,118.09029977637674,24.464825000198584,69544,490.0,70.46,2,5,南北,32.0,1,满五年,中层,7.0
155,湖里金山金山西三里201-222号锦绣金山,118.14935189414383,24.503773765380195,38633,338.0,87.49,3,6,南北,21.0,1,,低层,6.0
156,"集美杏东路纺织路69-91,103-105号华铃花园",118.04176421271816,24.572865421137298,19529,120.0,61.45,2,5,南,8.0,0,满二年,低层,32.0
157,"湖里湖里大道兴隆路7,11,13号信达大厦",118.09022394778135,24.51190212569622,34723,250.0,72.0,2,5,南,23.0,1,满五年,中层,16.0
158,湖里金山金山西里11-133号金山小区,118.15230769047665,24.504539101244134,35979,380.0,105.62,3,7,南北,23.0,0,满二年,低层,6.0
159,集美杏东路宁海一里1-27号万科金域华府(一期),118.05842054047804,24.564414105268305,25017,299.0,119.52,3,5,西北,11.0,1,,低层,41.0
160,集美杏东路宁海五里1-26号联发杏林湾一号(二三期),118.05886289545224,24.561750414224345,32192,389.0,120.84,3,7,东南,8.0,1,满二年,高层,39.0
161,思明会展中心会展北里11-22号海峡国际社区(二期),118.18488581558869,24.479886481252304,83684,478.0,57.12,1,3,南北,10.0,1,满二年,高层,32.0
162,思明东浦路东浦一里119-201号建发花园(二期),118.12065309295656,24.475835053609472,45378,588.0,129.58,4,8,南北,24.0,1,满二年,中层,8.0
163,集美集美新城园博二里1-6号中航城国际社区(A区B03地块),118.05269423704954,24.586906677450106,29840,355.0,118.97,3,8,东西,24.0,1,满二年,低层,28.0
164,"同安城北五秀二里1-6号,五秀三里1-10号,五秀四里1-20号,西洋一里1-4号,西洋二里1-7号,西洋三里1-9号禹洲香溪里(公寓住宅)",118.16085257292436,24.751108725768216,13002,136.0,104.6,3,6,南北,7.0,0,,高层,32.0
165,湖里市行政中心日圆三里1-12号中央湾区珊瑚海,118.1557299785697,24.52088028854189,66632,758.0,113.76,3,8,南,10.0,1,满二年,低层,29.0
166,集美同集南路东安北六里3-9号海上五月花海蔚蓝,118.1211317022009,24.60186734835956,27355,339.0,123.93,4,8,东南,9.0,0,满五年,低层,39.0
167,思明前埔古楼北里1-75号古楼北里,118.16456042840986,24.47013732419441,44826,298.0,66.48,2,4,南,24.0,0,满五年,中层,7.0
168,集美集美新城九天湖三里19-39号中航城国际社区(C区南区),118.04371288701329,24.59607184649303,33127,390.0,117.73,4,8,东南,24.0,1,,低层,95.0
169,湖里SM商圈园山南路533-579号园山小区,118.12564863120627,24.51015816734813,31684,320.0,101.0,3,7,南北,27.0,1,满二年,低层,7.0
170,集美杏林湾路龙亭三里1-8号莲花新城臻园,118.05377770354929,24.60481550612993,28866,258.0,89.38,3,6,南,9.0,1,满五年,高层,31.0
171,思明将军祠文塔路88-96号文园雅阁,118.09733462470126,24.465992592644472,59929,820.0,136.83,3,7,南北,19.0,1,满五年,中层,22.0
172,集美杏前路锦园东二里18-27号中海锦城国际(一期),118.02395556706016,24.58702003252034,17120,145.0,84.7,2,5,南,9.0,0,满二年,高层,33.0
173,思明文灶厦禾路855号英才商厦,118.10034599850172,24.4695624030224,53784,258.0,47.97,2,5,南,20.0,1,满五年,低层,22.0
174,思明火车站汇文路79-89号罗宾森璀璨新城(二期),118.1069650192217,24.47234719343857,57747,268.0,46.41,1,3,北,8.0,1,满二年,低层,33.0
175,集美杏北路杏北六里35-45号国贸天悦(一期),118.0456148866494,24.584935688738224,33219,348.0,104.76,3,7,南,7.0,1,满二年,中层,32.0
176,思明将军祠文园路1-57号文园路1-57号小区,118.09944988921436,24.468251457720136,56993,260.0,45.62,2,4,南北,24.0,1,满二年,中层,8.0
