ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
64,"北辰普东街姚江东路,近汾河道淮祥园",117.18745321864455,39.2128732445262,11310,95,84,2,1,1,南,11.0,1,,低层,18.0,0,1,2,4,10
65,河北靖江路街乌江路1号印江南里,117.2410198448908,39.16053673361426,17547,103,58.7,2,1,1,南北,32.0,1,满五年,,5.0,1,1,10,10,10
66,武清杨村街新开路中建壹方九里锦澜华庭,116.98177432373878,39.39662355305654,16160,155,95.92,3,2,2,南北,4.0,0,满二年,高层,11.0,0,0,2,7,10
67,西青侯台海泰发展三道6号金辉江山铭著,117.0938453812594,39.08352771544467,20887,165,79,2,2,1,南北,,0,,,,1,1,1,10,10
68,"西青中北御河道,近曦露路正荣润璟湾",117.07124019096544,39.134366922619385,17135,160,93.38,3,2,1,南北,8.0,0,,低层,24.0,0,0,3,10,10
69,津南双港领世路金地艺华年盈翠名邸,117.2771878485444,39.00982964907313,18091,199,110,3,2,1,南北,7.0,1,满五年,中层,8.0,0,1,3,6,10
70,东丽华明镇东八道与兴宇路交口天保意境芳华,117.41879156664514,39.154524509896774,18540,165,89,3,2,1,南北,,0,,,,1,0,7,10,10
71,东丽空港经济区成林路好新家园,117.26199317842467,39.12823526107802,11555,108,93.47,2,1,1,南,7.0,0,满五年,高层,13.0,1,3,10,10,10
72,北辰宜兴埠宜白路远洋未来城明煦苑,117.21450574033905,39.20168751845491,15340,158,103,3,2,1,南北,2.0,1,满二年,低层,27.0,3,1,10,10,10
73,滨海新区中新生态城中天大道尚苑,117.73420375049614,39.105373590401726,16337,168,102.84,2,2,1,南北,4.0,0,满二年,低层,7.0,2,3,0,10,10
74,东丽空港经济区东丽湖路与智景东道交口西行600米金融街听湖小镇(新房),117.46125936517858,39.167634926546995,12596,165,131,3,2,3,南北,,0,,,,0,0,1,4,3
75,西青张家窝瑞雪路津门正荣府,117.0483010037873,39.060753449702254,16604,176,106,3,2,2,南,3.0,1,,低层,7.0,0,1,5,10,10
76,河东上杭路万和路雅兰园,117.25330170168753,39.12205561960674,23104,215,93.06,2,1,1,南北,21.0,1,满五年,中层,6.0,1,0,10,10,10
77,南开长虹街天明街14104号雅美里,117.13653029231378,39.14213236316284,21563,138,64,2,1,1,南北,28.0,1,满五年,中层,7.0,1,0,10,10,10
78,西青精武国兴路金地艺墅家皓泽园,117.11226718539132,39.04748736864522,19198,199,103.66,3,2,2,南北,1.0,0,满二年,中层,8.0,0,2,6,10,10
79,西青张家窝文苑路万科四季花城雅园,117.03142639675895,39.0529199086073,14195,126.9,89.4,3,2,1,南,8.0,0,满五年,高层,8.0,0,2,0,1,6
80,河北江都路街革新道2号烛光里,117.23596011448741,39.16044742840259,15148,125,82.52,2,1,1,南北,25.0,1,满五年,低层,6.0,0,1,10,10,10
81,塘沽杭州道街福州道942号贻成奥林花园,117.64833633528028,39.04510777572012,14554,150,103.07,2,2,1,南北,9.0,0,满五年,低层,6.0,0,0,10,10,10
82,南开长虹街黄河道宜川北里,117.14571789233372,39.13813679101244,22441,105,46.79,1,1,1,南,29.0,1,满五年,高层,7.0,1,0,10,10,10
83,西青中北星光路云锦世家(南区),117.06699182082828,39.10418596035072,18799,168,89.37,2,2,1,南北,6.0,0,满五年,中层,9.0,0,0,3,10,6
84,滨海新区中新生态城和旭路1060号季景华庭,117.74359406095354,39.1142980295677,12087,118,97.63,2,2,1,南北,4.0,0,满五年,低层,15.0,0,8,4,10,6
85,河西马场道围堤道三合里,117.19225885330525,39.09743831453672,34406,199,57.84,2,1,1,东,27.0,1,满五年,高层,6.0,3,0,10,10,10
86,滨海新区中新生态城中新大道1852号天房天和园,117.74066175298564,39.12324147507413,13288,154,115.9,3,2,2,南北,5.0,0,满二年,中层,6.0,0,7,10,10,10
87,河北王串场街康乐道65号清水园,117.21389871302162,39.153138878698385,15909,139.5,87.69,3,1,1,南北,24.0,1,满五年,高层,6.0,1,1,10,10,10
88,"西青中北中北大道,近星光路华亭国际",117.0667053734503,39.11902455471358,12480,131,104.97,2,2,1,南北,9.0,0,,中层,11.0,0,0,1,7,10
89,开发区第四大街第五大街57号融科瀚棠丰合园(滨海),117.70987807164539,39.03684657096903,19355,180,93,3,2,1,南北,9.0,0,满五年,低层,23.0,0,1,10,10,10
90,北辰瑞景街北辰道盛庭丽景花园,117.09957649208354,39.20811911886365,15592,145,93,2,2,1,南北,7.0,1,满五年,中层,22.0,0,1,2,10,10
91,滨海新区中新生态城中生大道亿利国际生态岛,117.73727105472686,39.137362740372865,11743,120,102.19,3,2,1,南北,9.0,0,满五年,高层,11.0,0,0,7,3,6
92,西青中北福姜路福雅花园,117.09663615791327,39.12193403233353,13610,104,76.42,2,1,1,西北,19.0,0,满五年,低层,18.0,0,1,4,5,10
93,津南双港领世环路红磡领世郡领世达观(一二期),117.26017622091733,39.02371928680917,17552,156,88.88,2,1,1,南,12.0,1,满五年,,5.0,0,0,2,8,10
94,北辰天穆南仓道中储城邦文潼花园,117.15011899578457,39.20537769661413,15394,195,126.68,3,2,2,南,6.0,0,满二年,中层,30.0,2,0,10,10,10
95,南开万兴街鞍山西道玉泉里,117.16403099738035,39.11521884551753,21053,180,85.5,2,1,1,西南,26.0,1,满五年,高层,6.0,4,2,10,10,10
96,河东富民路月牙河南路35号雅仕兰庭,117.26302449987425,39.0890662652752,21172,198,93.52,2,2,1,南,9.0,1,满五年,中层,33.0,2,1,10,10,10
97,"北辰普东街姚江东路,近淮河道淮兴园",117.18403911400733,39.216786171612384,13432,137,102,3,2,1,南,11.0,1,满五年,中层,11.0,0,1,1,4,10
98,北辰北仓京津路1号蓝岸森林,117.15668854053342,39.18719564903704,10323,110,106.56,2,1,1,南,14.0,0,满五年,中层,18.0,1,1,10,10,10
99,红桥咸阳北路街光荣道185号北岸中心,117.13496474911626,39.17861954648311,25309,229.5,90.68,2,2,1,南北,4.0,1,,低层,28.0,0,2,9,10,10
100,北辰双街镇庄园南道91号柴楼新庄园兴园,117.09959803780869,39.266458685647585,11948,138,115.51,3,2,1,南北,10.0,0,满五年,高层,30.0,0,0,0,5,10
101,"武清杨村街雍和道,近新开路经纬城市绿洲学知华庭",116.98784908105374,39.398680323104756,10517,91,86.53,2,2,1,南,2.0,0,满二年,中层,34.0,0,0,2,9,10
102,塘沽塘沽新村街宁波道399号阳光家园(滨海),117.64828824596266,39.01532076665191,16569,154,92.95,2,2,1,南北,1.0,0,满五年,低层,18.0,0,1,0,10,10
103,"东丽空港经济区东五道,近中环东路名居花园",117.39824784191282,39.14901953066556,18173,169,93,2,2,1,南北,12.0,0,满五年,低层,9.0,1,0,1,7,8
104,"东丽空港经济区航宇路,近东七道新城长风雅著",117.40958341532306,39.14409560345324,17347,170,98,3,2,2,南北,1.0,0,满五年,低层,11.0,0,0,5,10,10
105,北辰集贤里延吉道盛仓新苑赤霞园,117.12460363798041,39.23327755089661,10350,108,104.35,2,2,1,南,26.0,0,满五年,中层,6.0,1,0,7,10,10
106,南开兴南街南开二纬路36号聚英里,117.17011341684076,39.12898213084293,32618,196,60.09,2,1,1,南北,36.0,1,满五年,高层,7.0,1,0,10,10,10
107,塘沽新港街港滨路910号贻芳嘉园,117.70405612027123,39.00971295900145,10267,106,103.25,2,1,1,南北,19.0,1,满五年,低层,12.0,0,0,10,10,10
108,"北辰集贤里高峰路,近延吉道紫罗园",117.12879914778179,39.235759046730884,12932,125,96.66,2,2,1,南,16.0,0,满五年,,5.0,1,1,10,10,10
109,武清杨村街新城南东路东侧盛世睿园,117.010488334656,39.38495567649826,10045,88,87.61,2,2,1,南,7.0,0,满五年,高层,30.0,0,0,2,8,10
110,红桥西营门街鸿明道和苑尊和园,117.11164058895758,39.15883813021489,13461,160,118.87,3,1,2,南北,12.0,0,,低层,30.0,1,0,7,6,10
111,北辰果园新村果园北道3号霞光里(北辰),117.12898868751441,39.21860975567909,9860,90,91.28,2,2,1,东西,26.0,0,满五年,低层,7.0,1,0,5,10,10
112,"北辰天穆龙门东道,近高峰路雍祥府",117.15107161457813,39.21564504832967,19165,223,116.36,3,2,2,南北,3.0,0,,低层,7.0,2,1,10,10,10
113,"北辰宜兴埠沁河中道,近淮东路正荣府",117.16870477868144,39.235049677531386,11410,97,85.02,2,1,1,南,5.0,1,满二年,高层,24.0,0,0,0,5,10
114,"河西小海地梅林路,近双林道天津全运村云实园",117.2503107441624,39.04245748107635,34009,336,98.8,3,2,1,南北,9.0,0,,中层,30.0,1,2,4,10,10
115,"武清杨村街雍阳西道,近翠源路枫丹天城",117.01784269863818,39.387865785936995,13300,110,82.71,2,2,1,南,8.0,0,满五年,低层,18.0,0,0,5,10,10
116,"塘沽杭州道街韶山路,近望达街贻成东园",117.66282634565742,39.03025909426011,10661,109,102.25,2,2,1,南北,18.0,1,满五年,中层,6.0,2,1,10,10,10
117,北辰宜兴埠天广路金地艺城华府北泽雅居,117.18085056884432,39.21861385603183,13499,130,96.31,3,2,1,南北,8.0,1,满五年,中层,8.0,0,0,1,5,10
118,西青李七庄秀川路215号融泰城,117.14277998837741,39.050526445365584,16022,149,93,3,2,1,南北,6.0,0,满五年,高层,27.0,0,0,2,7,10
119,"北辰瑞景街龙门道,近辰旺路瑞益园",117.11604578427666,39.20629775684453,10596,89,84,2,1,1,南北,17.0,1,,高层,17.0,0,1,8,10,10
120,"武清杨村街光明道,近泉丰路蒲瑞祥园中区",117.00706268912946,39.40086788387556,10732,88,82,2,1,1,南,11.0,0,满五年,中层,16.0,0,0,10,10,10
121,北辰双街镇顺畅路16号柴楼新庄园竹园,117.10022869413216,39.268423832660446,10600,100,94.34,2,2,1,南北,10.0,0,满五年,高层,30.0,0,0,1,7,10
122,"开发区第三大街盛达街,近太湖路月荣轩",117.7236894291612,39.02327911500133,15466,133,86,2,1,1,南,2.0,1,满五年,低层,33.0,1,1,10,10,10
