ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
1494,昌平小汤山南立汤路7号北辰红橡墅,116.40085175999747,40.141917906141295,31339,1350,430.78,5,5,6,南北,8.0,0,,,2.0,0,0,0,3,6
1495,顺义石门顺于路华英园(顺义),116.61333381187815,40.12878118592558,27660,260,94,2,1,1,南北,21.0,1,满五年,中层,6.0,1,0,5,10,10
1496,顺义顺义城区仓上街仓上小区(五里仓社区),116.64866983954191,40.11330815270163,23744,180,75.81,2,1,1,南北,26.0,0,满五年,低层,6.0,0,0,2,10,10
1497,海淀西山旱河路四季香山,116.24072755048641,39.95961961196617,117544,1675,142.5,3,2,2,南北,20.0,0,,,5.0,0,2,10,4,10
1498,大兴生物医药基地纪百户街16号新源时代小区,116.32090743965989,39.68853876345745,31568,202,63.99,1,1,1,南北,10.0,1,满五年,高层,18.0,1,1,10,10,10
1499,顺义石园顺仁路石园南区(石园南社区),116.6559095122937,40.10380966011153,23957,218,91,2,1,1,南北,32.0,0,满五年,低层,6.0,0,0,0,6,9
1500,海淀知春路知春路13号航南小区,116.31735247402594,39.97782536999251,99681,1280,128.41,3,1,1,东南,24.0,1,满五年,中层,18.0,2,0,10,10,10
1501,顺义李桥顺仁路66号鼎顺嘉园(东区),116.66088153293316,40.08220829623522,24091,145,60.19,1,1,1,南北,6.0,0,满五年,中层,16.0,0,1,0,10,10
1502,"昌平沙河高教园北二街,近京藏高速北街家园C区",116.25956558661827,40.16404198420584,43625,650,149,5,2,2,南北,14.0,1,满五年,高层,10.0,0,0,6,10,10
1503,房山燕山东万路羊耳峪北里,115.96692958912212,39.761290027840204,8667,52,60,2,1,1,南北,39.0,0,,高层,6.0,0,0,4,9,10
1504,通州土桥颐瑞中二路DBC加州小镇(B区),116.67716053961993,39.86658748261715,40024,609,152.16,3,2,2,南北,-1.0,1,满五年,高层,11.0,1,0,3,10,10
1505,丰台石榴庄光彩路68号彩虹城(二区),116.41026104059945,39.83697375268223,48169,238,49.41,1,1,1,东北,19.0,1,满五年,低层,12.0,1,3,5,10,10
1506,密云密云城区新中街177号宁静之都檀城西区,116.8457673113122,40.36725688002384,27990,390,139.34,3,2,2,南北,21.0,0,满五年,低层,6.0,0,2,4,10,10
1507,大兴旧宫旧宫西路5号清欣园,116.43500229008352,39.80567725527751,28836,206,71.44,2,1,1,南北,23.0,0,满五年,高层,6.0,1,1,10,10,10
1508,顺义顺义城区双兴北路双兴北区,116.64859137082674,40.141185548275224,29158,202,69.28,2,1,1,南北,25.0,1,满五年,中层,6.0,1,2,10,10,10
1509,昌平回龙观文华路龙锦苑四区,116.34039034428145,40.08371788705551,30802,595,193.17,6,1,3,南,20.0,1,满五年,,5.0,4,1,7,10,10
1510,顺义石门前景路2号当代北辰悦MOMA,116.63071471540472,40.136113468223044,28705,215,74.9,2,1,1,南北,6.0,1,满五年,低层,7.0,0,0,2,10,10
1511,延庆延庆城区博园中路4号博园雅居(4号院),115.9547236179255,40.43267156287127,14667,110,75,2,1,1,南北,5.0,0,,高层,8.0,0,0,4,10,5
1512,大兴黄村枣园路枣园东里,116.32890232459546,39.75258351016307,37589,280,74.49,2,1,1,南北,26.0,1,,中层,6.0,1,0,10,10,10
1513,延庆延庆城区玉皇阁大街儒林苑小区(延庆),115.96598403564305,40.456063273865745,20117,207,102.9,3,2,1,南北,20.0,0,满五年,,5.0,0,2,1,10,10
1514,朝阳奥林匹克公园北苑路拂林园,116.3869189366632,39.99948988002388,52135,800,153.45,4,2,1,南北,21.0,1,,低层,14.0,0,2,10,10,10
1515,西城金融街华远北街1号华远北街小区,116.36530258835789,39.91265084059719,173334,1040,60,1,1,1,东北,23.0,1,,高层,17.0,4,2,10,10,10
1516,大兴大兴周边育林街育新花园中里,116.63138804234875,39.65813737485781,17720,110,62.08,1,1,1,南,11.0,0,满五年,低层,12.0,0,0,0,10,10
1517,朝阳大望路百子湾南二路66号广渠金茂府(北区),116.47800493093375,39.894403330053734,131211,3750,285.8,4,2,3,南,12.0,1,,中层,11.0,4,0,10,10,10
1518,石景山杨庄阜石路御景山小区,116.18689428351229,39.92158845914902,46062,680,147.63,3,2,2,南北,21.0,1,满五年,高层,17.0,0,1,10,10,10
1519,北京周边保定腾飞南街华远海蓝城,116.34084956577631,39.94101320824196,8315,74,89,3,2,1,南北,4.0,0,满二年,低层,18.0,4,0,10,10,10
