ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
136,江北北滨路建新西路399号华宇北国风光,106.50526279958964,29.561964527177228,9798,120,122.48,3,2,2,西南,16.0,1,满二年,低层,11.0,4,1,10,10,10
137,渝北龙头寺红枫路9号首创十方界峰度,106.53297407243112,29.608834276499916,10698,129.8,121.34,3,2,1,南北,14.0,0,,中层,33.0,5,1,10,10,10
138,沙坪坝土主永青路21号龙湖开元晶蓝二期,106.34933953875395,29.613552175449225,11867,132.9,112,3,2,2,南北,8.0,1,满二年,高层,6.0,0,1,2,10,10
139,渝北木耳民意路188号首钢铂鹭风华,106.64683903516743,29.800928479412356,9697,96,99,3,2,2,南北,4.0,1,,高层,17.0,0,1,0,5,5
140,渝北大竹林平祥路2号江山樾(三期北区),106.48081779501504,29.651709659059538,10732,132,123,4,2,2,北,6.0,1,满二年,低层,41.0,0,0,0,2,5
141,巴南龙洲湾龙学街273号电建洺悦城龙洲湾,106.54022141548872,29.401264987403636,10146,139,137,3,2,2,南,6.0,1,满二年,低层,27.0,1,2,4,10,10
142,九龙坡盘龙云龙大道8号鲁能九龙花园东郡,106.4916576533598,29.50590260829231,11182,123,110,4,2,2,东南,8.0,1,,低层,33.0,1,0,10,10,10
143,北碚蔡家博兴路366号中南玖宸知溪,106.48955425036247,29.726901245390994,12715,122,95.95,3,2,2,南北,4.0,1,满二年,低层,26.0,0,1,0,10,10
144,大渡口茄子溪心湖路99号恒大麓山湖(三期),106.46636616718772,29.454545760288088,10221,139,136,4,2,2,南北,6.0,0,满五年,中层,6.0,0,1,1,8,10
145,沙坪坝凤天路凤天大道132号华彩俊豪,106.44732260684901,29.529627384930386,10680,110,103,3,2,2,东南,18.0,1,满五年,高层,31.0,3,0,10,10,10
146,渝北礼嘉悦华路11号华侨城天际湾B区,106.51024860091837,29.673052835130143,13004,135,103.82,3,2,2,南,4.0,1,,高层,28.0,2,2,5,10,10
147,渝北回兴宝桐一路555号奔力乡间城,106.60627205559689,29.69093537882083,8689,76.8,88.39,3,2,1,南北,13.0,1,满五年,低层,12.0,2,2,9,10,10
148,渝北鸳鸯龙展路59号大雅云居山,106.5621228384285,29.66948638876207,12146,120,98.8,3,2,2,东南,8.0,1,,高层,26.0,2,2,5,10,10
149,渝北冉家坝松石北路269号东和春天(西区),106.49862630507052,29.59540027558546,13399,138,103,2,1,1,南北,18.0,1,,低层,22.0,2,3,10,10,10
150,大渡口春晖路兴盛路822号融创春晖十里阅峰庭,106.47903021200547,29.440470602088563,8957,85,94.9,3,2,2,东北,7.0,1,,中层,34.0,1,1,2,10,10
151,渝北冉家坝龙山路233号逸静丰豪,106.49320982219452,29.59162135646454,10456,120,114.77,3,2,2,南,16.0,1,,高层,11.0,1,2,10,10,10
152,渝北汽博中心金渝大道81号复地天玺,106.5606948782914,29.655863760063223,12334,185,150,4,2,2,南,9.0,1,满二年,低层,33.0,0,4,10,10,10
153,沙坪坝土主文兴大道融创文旅城御铂南区,106.35103190044754,29.631876550261598,11200,112,100,3,2,2,南北,2.0,0,满二年,中层,13.0,0,3,10,10,10
154,北碚蔡家同华路78号隆鑫爱琴海(1期),106.48841763811798,29.746701751122092,10117,96,94.89,3,2,1,南北,9.0,1,满二年,中层,8.0,1,2,5,10,10
155,江北江北嘴北滨二路546号紫御江山天誉,106.56883868260596,29.584085771914737,19987,175,87.56,3,2,1,南北,6.0,1,满五年,低层,45.0,3,0,10,10,10
156,渝北空港新城兰桂大道6号汇祥林里3000(四期),106.6032848771794,29.716629710372516,11625,105,90.33,3,2,2,北,9.0,1,满二年,高层,29.0,2,1,10,10,10
157,九龙坡二郎科技大道99号晋愉V时代,106.45364633011887,29.508863476928166,10974,115,104.8,3,2,2,东北,14.0,1,满二年,高层,29.0,4,0,10,10,10
158,渝北照母山金山大道28号万科城(三期),106.52070617076649,29.64148262610356,13200,132,100,3,2,1,南北,6.0,1,满二年,高层,30.0,0,1,6,10,10
159,巴南龙洲湾龙泽路808号荣盛锦绣南山(A区),106.54273041778772,29.38775727598951,12750,153,120,4,2,2,东,3.0,1,满二年,中层,8.0,1,1,10,10,10
160,渝北照母山湖彩路88号约克郡汀兰,106.52677172686208,29.656024187528594,19084,199,104.28,3,2,2,南北,6.0,1,满五年,低层,25.0,4,2,10,10,10
161,渝北回兴宝圣大道99号在水一方(渝北),106.59637207755016,29.676047359755923,7500,72,96,3,2,1,南北,24.0,1,满二年,高层,11.0,1,0,6,6,10
162,北碚蔡家双华北路77号金科集美嘉悦(一期),106.48565946170784,29.72579183710652,12143,136,112,3,2,2,北,6.0,1,满二年,中层,33.0,0,2,1,10,10
