ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,busAround,schoolAround,shopping_mallAround
173,岳麓银盆岭银盆岭路228号保利西海岸(A区),112.95568269367456,28.22547153941616,16814,220,130.85,4,2,2,南北,5.0,1,满五年,低层,42.0,2,2,10,10,10
174,"望城月亮岛月亮岛路,近银杉路润和滨江府(一期)",112.92048341866173,28.29252639165686,10892,110,101,3,2,2,南,5.0,1,满二年,中层,34.0,0,0,10,10,10
175,芙蓉马王堆晚报大道569号万科金域蓝湾,113.03238670367752,28.21357177987629,14248,128.8,90.4,3,2,1,南,14.0,1,满五年,高层,33.0,2,3,10,10,10
176,天心省政府湘府西路229号保利花园,112.96589944627026,28.11270634319214,9423,102,108.25,3,2,2,南北,11.0,1,满五年,低层,16.0,0,4,10,4,10
177,天心天心区政府中意一路1068号长城水郡,112.99365826038199,28.09429352989691,11730,118,100.6,3,2,2,南北,11.0,1,满五年,低层,16.0,1,1,10,3,10
178,"开福四方坪东二环,近栖凤路海洋半岛",113.01644007270777,28.241087194884546,10699,95,88.8,3,2,1,南,10.0,1,满五年,高层,34.0,2,6,10,8,10
179,"望城普瑞大道黄金东路,近普瑞大道润和紫郡",112.89900786383119,28.295438311191635,8803,109,123.83,4,2,2,南,10.0,0,满二年,中层,33.0,0,0,10,10,10
180,望城金星北银星路555号龙湖湘风原著,112.90804011862816,28.280010048669986,9984,119.8,120,4,2,2,南,6.0,0,满五年,高层,34.0,0,0,10,1,10
181,芙蓉芙蓉车站北路车站北路70号万象新天,113.00624171893811,28.204146727542838,12290,149,121.24,3,2,2,南北,26.0,1,满五年,中层,33.0,5,2,10,10,10
182,雨花时代阳光大道高升路92号鸿运佳苑,113.01301061073323,28.095836901344715,7450,90,120.82,3,2,2,南北,5.0,0,满二年,低层,29.0,2,4,10,10,10
183,雨花红星圭塘路774号德润小区(南区),113.02065245038223,28.120030755670115,12518,190,151.79,4,2,2,南,9.0,0,,高层,25.0,2,0,10,10,10
184,"岳麓洋湖湿地公园潇湘南大道,近虹山路蓝光雍锦半岛",112.92232523185505,28.12961884091196,10613,136,128.15,3,2,2,南,5.0,1,满五年,低层,25.0,0,4,10,2,10
185,雨花红星五凌路298号湘府9号,112.99004131440194,28.11428936073766,12462,158,126.79,3,2,2,南北,9.0,1,满五年,中层,26.0,1,2,10,5,10
186,岳麓咸嘉湖金星中路288号西子湖畔沃府,112.93018418459447,28.214140746044038,9696,145,149.56,4,2,2,南北,12.0,1,满五年,低层,18.0,2,1,10,10,10
187,开福山语城新安路湘诚德峰小区(B区),112.95036094768757,28.313177401158004,8562,106.8,124.74,3,2,2,南,8.0,1,,低层,30.0,0,0,10,2,10
188,望城普瑞大道普瑞大道恒大名都,112.90469530591072,28.2997457948747,6043,80,132.39,3,2,2,南北,9.0,1,满五年,低层,18.0,0,0,10,10,10
189,雨花高桥东二环长建市场,113.01069872527032,28.18280914047271,7156,67,93.64,3,2,1,南,34.0,0,,高层,8.0,3,1,10,10,10
190,芙蓉马王堆凌霄路银港水晶城(D区),113.02831545701922,28.20463270299306,8050,99.8,123.98,3,2,2,南,18.0,1,满五年,高层,18.0,4,4,10,10,10
191,开福伍家岭芙蓉北路二段200号明珠苑,112.98209334438837,28.233635115923544,10403,122,117.28,3,2,2,南北,20.0,1,满五年,高层,9.0,1,5,10,10,10
192,岳麓梅溪湖南梅溪湖路佳兆业云顶梅溪湖(三四期),112.88822044268657,28.179334458503618,14033,168,119.72,3,2,2,南北,7.0,0,,高层,33.0,1,0,10,6,10
193,望城望城新区政府望府路正荣财富中心(南区公寓住宅),112.82899842772869,28.34994954370977,6409,91,142,4,2,2,南北,8.0,0,,高层,34.0,0,1,10,10,10
194,望城雷锋大道北雷锋大道558号裕田奥莱小镇,112.85131261881877,28.329778772137622,8293,102,123,3,2,2,南北,8.0,0,,,2.0,0,0,10,4,10
195,岳麓含浦学士路99号江山帝景雅典,112.90030545306516,28.132055020935827,8669,130,149.97,3,2,2,南,12.0,0,满五年,低层,6.0,0,0,10,10,10
196,"望城望城新区政府马桥河路,近同心路绿地香树花城",112.84231658294881,28.328866534172995,4892,45,92,2,2,1,南北,7.0,0,满五年,高层,34.0,0,0,10,2,10
197,天心友谊路韶山路168号星语林名园,112.99708418464701,28.128522383356028,10838,138,127.34,3,2,2,南北,18.0,0,满五年,中层,15.0,1,2,10,10,10
198,"开福开福周边芙蓉北路,近高冲路新城和樾",112.95031393480892,28.32032343924323,7758,105,135.35,4,2,2,南北,4.0,0,满五年,高层,32.0,0,0,10,3,10
199,芙蓉万家丽马王堆中路79号东玺门,113.02139984641353,28.196984237809104,8737,78,89.28,2,2,1,南,13.0,1,满五年,低层,34.0,4,5,10,10,10
200,雨花左家塘妹子山巷28号曙光领峰,112.99925686070023,28.18396834194854,11882,150,126.25,4,2,2,南北,14.0,1,满五年,高层,34.0,3,2,10,10,10
201,芙蓉火车站紫薇路386号省人民检察院住宅区,113.01923876951996,28.213254194374496,9983,116.8,117,3,2,2,南北,26.0,1,满五年,中层,6.0,1,5,10,10,10
202,"望城普瑞大道西普瑞大道,近沿河路澳海望洲府",112.84485139095425,28.296389534697784,6245,68,108.9,3,2,2,南,6.0,0,,低层,34.0,0,0,10,8,10
203,"天心新省政府南雀园路,近石碑路九峰远见",112.97309435620066,28.09888664219574,12845,149,116,3,2,2,南北,8.0,1,满五年,高层,16.0,0,0,10,4,10
204,芙蓉火车站朝阳路78号凯通国际城,113.00326050435027,28.19139004147188,11191,126,112.6,4,2,2,南北,14.0,1,满五年,高层,32.0,4,3,10,10,10
205,雨花东塘水电街31号(旧:韶山路62号)湘农桥社区(二区),112.9869183497455,28.178568072862063,11863,99.8,84.13,3,1,1,南北,28.0,1,满五年,低层,6.0,2,4,10,10,10
206,岳麓银盆岭岳麓大道57号奥克斯中央公馆,112.94983688703067,28.226578025098107,12540,135,107.66,3,2,2,南北,12.0,1,满五年,中层,33.0,2,1,10,10,10
207,岳麓麓谷岳麓大道潇湘奥林匹克花园(二期),112.86783751227438,28.233928500462913,11964,113.8,95.12,3,2,1,南北,8.0,1,,低层,32.0,0,0,10,6,9
