ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
514,浦口高新区朗山路2号朗诗未来街区(西区),118.70476920465704,32.18753290192809,16026,125.0,78.0,3,6,南北,8.0,1,满五年,中层,18.0
515,江宁科学园竹山南路393号武夷绿洲观竹苑,118.83869325444724,31.931068689562448,22960,157.0,68.38,2,4,南北,15.0,1,满五年,低层,16.0
516,建邺奥南元前路颐和铂湾花园,118.677000078743,31.97272480679496,43018,499.0,116.0,3,7,南北,1.0,1,,中层,17.0
517,玄武月苑月苑南路9号月苑四村,118.82423218447016,32.09957277760908,27799,190.0,68.35,3,5,南,26.0,0,满五年,高层,7.0
518,浦口江浦街道新浦路111号中建国熙台一期,118.64192252652728,32.062446185217844,24395,260.0,106.58,3,7,南北,6.0,1,满二年,中层,18.0
519,秦淮大校场校场大道文渊府,118.82180711628511,31.99902763954313,35594,420.0,118.0,3,7,南北,1.0,0,,高层,17.0
520,建邺奥体新安江路62号中海塞纳丽舍东苑,118.73580882603189,32.00115726991489,48121,640.0,133.0,3,7,南北,17.0,1,,低层,18.0
521,浦口江浦街道卓溪路10号中交锦蘭荟,118.5950972844368,32.05173368579352,16495,145.0,87.91,3,6,南北,5.0,1,满五年,低层,11.0
522,建邺茶南水西门大街31号露园小区,118.74458314328018,32.034813831864554,30347,189.0,62.28,2,4,南,28.0,1,满五年,中层,6.0
523,江宁麒麟科技城智通路216号新保弘领东苑(A区),118.8959477479208,32.026121378905216,20091,221.0,110.0,3,7,南北,4.0,0,,高层,26.0
524,栖霞马群百水桥南路南湾营文康苑,118.89108843573368,32.040379271946215,13525,120.0,88.73,3,5,南北,17.0,0,满五年,中层,11.0
525,鼓楼金陵小区金燕路燕江园小区,118.7583722359748,32.107537873255374,21376,115.0,53.8,2,4,南北,24.0,1,满五年,中层,7.0
526,滨江开发区滨江弘利路9号龙湖水晶郦城,118.576064782763,31.85688776008332,12969,108.0,83.28,3,6,南,1.0,0,,低层,33.0
527,六合雄州林场路1号荣盛花语城(一期),118.83967604618474,32.32036858360896,10619,95.0,89.47,3,5,南北,7.0,0,满五年,中层,18.0
528,栖霞迈皋桥和悦街7号凤悦南园,118.84403309516982,32.118958701836945,15173,132.0,87.0,3,6,南北,7.0,1,满五年,高层,32.0
529,栖霞摄山星城竹丝西路步青苑,118.99323385220416,32.14032651980863,10459,94.0,89.88,3,6,南北,14.0,0,满五年,低层,6.0
530,鼓楼湖南路中央路127号中央路127号小区,118.7783422608169,32.069300823979056,23152,165.0,71.27,3,5,东西,34.0,1,满五年,高层,7.0
531,六合雄州新棠路荣盛花语城(四期),118.83760548819996,32.31942576364941,9899,92.0,92.94,3,6,南北,5.0,0,满二年,中层,15.0
532,浦口江浦街道康华路19号康华新村,118.63784716137032,32.0679137502262,14428,135.0,93.57,3,6,南北,23.0,1,满五年,中层,6.0
533,栖霞马群百水桥南路南湾营馨康苑,118.88813870838482,32.03783272033228,13954,120.0,86.0,3,5,南北,11.0,0,满五年,低层,6.0
534,建邺奥体恒山路137号宋都美域沁园,118.72117991552012,31.99313822414115,43556,588.0,135.0,4,8,南北,18.0,1,满二年,低层,11.0
535,秦淮月牙湖苜蓿园大街4号富丽山庄,118.83060088656744,32.028278531963,21810,229.0,105.0,3,6,南北,24.0,0,,高层,7.0
536,浦口桥北百润路天润城第六街区,118.72438700120794,32.14677924395628,14259,128.0,89.77,2,5,南北,13.0,1,满五年,低层,6.0
537,江宁秣陵天禧路18号芳原,118.83846451425102,31.85873812289124,21577,520.0,241.0,4,9,南北,3.0,1,,,4.0
538,江宁将军大道谷研路88号烟岚云庄,118.796984586284,31.78136146791696,13794,400.0,290.0,4,9,南北,2.0,0,满二年,,4.0
539,"浦口江浦街道火药洲路,近天浦路雅居乐滨江国际三四期",118.66887451081551,32.064219822604535,27914,388.0,139.0,4,8,南北,6.0,1,满二年,低层,33.0
540,江宁麒麟科技城开城路188号中南麒麟锦城,118.92011216737374,32.050769982316496,15061,131.0,86.98,2,5,南北,6.0,0,满五年,中层,17.0
541,六合龙池龙湾路92号冠城大通蓝郡梅苑,118.81513684755411,32.314975027330945,10555,100.0,94.75,3,6,南北,6.0,1,满二年,高层,18.0
542,浦口江浦街道张墩路1号保利云禧,118.61238087127651,32.046566684689566,23438,225.0,96.0,3,6,南,6.0,1,满五年,低层,13.0
543,栖霞尧化门尧和西路2号上铁月桂园,118.86278491214588,32.12011324800492,14229,127.0,89.26,2,5,南,12.0,1,满五年,低层,18.0
544,鼓楼宁海路上海路81号上海路81号小区,118.769587694866,32.05410118073501,26707,196.0,73.39,3,5,南,38.0,1,满五年,高层,7.0
545,浦口桥北天华东路102号威尼斯水城第十街区,118.75106111150264,32.146930814315745,13634,120.0,88.02,2,5,南北,8.0,1,满五年,中层,6.0
546,江宁科学园成墟路288号天印花园,118.85057401939068,31.93940507126245,22430,240.0,107.0,2,5,南北,21.0,1,满五年,中层,11.0
547,江宁江宁大学城竹山路横岭新寓,118.85711316951108,31.908967631852057,12527,119.0,95.0,3,6,南北,13.0,0,满五年,高层,6.0
548,鼓楼宁海路虎踞关4-7号虎踞关4-7号小区,118.75848501151184,32.054694267966084,45620,252.0,55.24,2,4,南北,26.0,1,满二年,低层,7.0
549,栖霞马群五棵松128号东景花园,118.87427299818088,32.04679923497432,24359,190.0,78.0,2,5,南北,17.0,1,满五年,中层,9.0
550,滨江开发区谷里邻里大道谷里泉塘新寓,118.70331910376802,31.867526368501277,11667,105.0,90.0,4,8,南北,5.0,0,,高层,6.0
551,江宁九龙湖双龙大道1699号万科翡翠公园,118.82216231692443,31.92276838836141,35770,490.0,136.99,3,7,南北,7.0,1,满五年,中层,33.0
552,鼓楼龙江银城街银城花园(北区),118.72601287379209,32.05490658834441,36863,188.0,51.0,2,4,南北,27.0,1,满五年,中层,7.0
553,鼓楼小市安怀东路安怀新村,118.7901919009823,32.10129875069519,18827,120.0,63.74,2,4,南北,34.0,1,满五年,中层,6.0
554,江宁将军大道佛城西路江南青年城翠湾苑,118.78221627706932,31.910006021857694,15501,188.0,121.29,3,7,南北,16.0,1,,中层,11.0
555,鼓楼江东水西门大街618号苏宁檀悦(南区),118.72301844025084,32.038695790397256,60683,960.0,158.2,4,8,南北,1.0,1,,低层,14.0
556,鼓楼宁海路虎踞路86号虎踞路86号小区,118.7531510842543,32.05372753876355,47898,270.0,56.37,2,4,南北,26.0,1,满二年,高层,7.0
557,江宁江宁大学城弘景大道齐武路2号陶苑,118.89274348896772,31.88899051802639,16952,139.0,82.0,2,5,南北,15.0,0,满五年,高层,6.0
558,六合龙池龙湖东路2号沿河花园,118.81567728307208,32.3388358412385,9180,86.0,93.69,3,5,南北,10.0,1,满二年,低层,19.0
559,鼓楼龙江草场门大街128号宁工新寓二村,118.73206990685708,32.061775669234166,24715,173.0,70.0,2,4,南北,24.0,1,满五年,高层,7.0
560,六合大厂葛关路扬子二十一村,118.7498946171597,32.23955930353833,13703,130.0,94.87,3,5,南北,25.0,1,满五年,低层,18.0
561,江宁禄口金石路99号里外城,118.86349260317832,31.776303144566207,8578,83.0,96.77,3,7,南北,10.0,0,满五年,中层,15.0
562,浦口桥北柳洲东路203号威尼斯水城第六街区,118.7475847223141,32.14675523448853,13214,115.0,87.03,2,5,南北,10.0,1,满五年,低层,6.0
563,浦口江浦街道象山路11号钱塘望景花园,118.61549126712056,32.07582737149033,19149,180.0,94.0,2,4,南北,10.0,0,满二年,中层,11.0
564,浦口江浦街道台南路10号力标四季嘉园,118.5926097339426,32.024568312029714,13153,120.0,91.24,3,6,南,6.0,0,满二年,高层,10.0
565,六合大厂芳庭路68号芳庭潘园,118.723226170646,32.22035741222354,11334,102.0,90.0,3,6,南北,12.0,1,满五年,高层,6.0
566,秦淮卡子门应天大街119号康业里,118.80027625820269,32.00715439287261,25817,162.0,62.75,2,5,南北,26.0,1,满五年,低层,7.0
567,浦口桥北江山路9号浦泰和天下(三期),118.73405653061592,32.13731646994963,16173,145.0,89.66,2,5,南北,7.0,1,满五年,低层,18.0
568,六合雄州园林东路101号龙海新加坡花园城北园,118.8528962160021,32.35117731634797,6112,60.0,98.18,3,6,南北,9.0,1,,高层,6.0
569,浦口高新区泰冯路69号苏宁天华绿谷庄园,118.71175594077644,32.162322783566204,11844,104.0,87.81,2,5,南北,10.0,1,满五年,高层,6.0
570,浦口桥北百润路2号天润城第三街区,118.72967993794964,32.149519291613295,13918,135.0,97.0,2,5,南北,16.0,1,,低层,77.0
571,栖霞摄山星城朝阳路摄山星城听竹苑,119.0011585062623,32.145952175838204,11163,96.0,86.0,3,6,南北,16.0,0,满五年,中层,6.0
572,六合大厂毕洼路恒丰世家,118.74612111772986,32.233078005336964,12114,130.0,107.32,3,6,南北,14.0,1,满五年,中层,18.0
573,浦口江浦街道临滁路大华锦绣江来,118.6566478106716,32.0785608471668,25603,318.8,124.52,4,8,南北,1.0,0,,中层,18.0
574,江宁江宁大学城龙眠大道新华公寓祥和苑,118.9190146610626,31.897778448603013,12441,128.0,102.89,3,6,南北,9.0,1,,低层,18.0
575,浦口桥北天华东路天润城第十一街区(北区),118.73231046400988,32.15281453078372,12500,105.0,84.0,2,5,南北,12.0,1,满二年,高层,6.0
576,玄武丹凤街唱经楼西街3-7号唱经楼小区,118.78187163890544,32.05454573391518,24325,180.0,74.0,2,4,南北,24.0,1,满五年,低层,32.0
577,鼓楼金陵小区大桥南路大桥新村,118.7460529788017,32.1046206554091,24568,149.0,60.65,3,4,南北,30.0,0,满五年,,5.0
578,雨花台西善桥西善桥北路9-2号七彩星城,118.71973121607684,31.967339995096825,19264,168.0,87.21,2,5,南北,15.0,1,,高层,11.0
579,玄武孝陵卫中山门大街299号中冶钟鼎山庄,118.85744997392771,32.040116979773046,64675,1160.0,179.36,4,8,南北,12.0,1,满五年,,5.0
580,浦口江浦街道黄山岭路21号金隅紫京叠院,118.60931456813742,32.07317843278021,20584,247.0,120.0,4,8,南北,4.0,0,满二年,低层,9.0
581,江宁麒麟科技城麒东路777号东郊小镇第二街区,118.94771943276244,32.055050701348506,9408,109.0,115.87,3,7,南北,16.0,0,,高层,6.0
582,浦口桥北天华东路101号威尼斯水城第十四街区,118.74823931410448,32.15160116296559,15970,134.0,83.91,2,5,南北,9.0,1,满五年,中层,18.0
583,雨花台小行小行路35号药械厂家属大院,118.7403656861128,31.98540099067768,26924,168.0,62.4,3,4,南,16.0,1,满二年,中层,6.0
584,鼓楼五塘广场张王庙38号金碧花园,118.77185551335457,32.103254176661366,15407,108.0,70.1,2,4,南北,24.0,1,满五年,高层,7.0
585,"江宁麒麟科技城开城路,近天旺路麒麟紫荆城锁石苑",118.92229198471452,32.04416209374227,10223,92.0,90.0,3,5,南北,9.0,0,满五年,中层,34.0
586,栖霞燕子矶联珠路胜利村,118.81258596318948,32.13530061675622,14737,112.0,76.0,3,5,南,34.0,0,满五年,,5.0
587,浦口桥北柳洲东路6号弘阳旭日上城三区,118.71783065327564,32.14329882094165,18599,199.0,107.0,3,6,南北,8.0,1,满五年,中层,32.0
588,浦口江浦街道浦云路滨江榴园,118.61684904283324,32.0381967630679,11932,105.0,88.0,2,5,南北,3.0,1,,中层,33.0
589,南京周边镇江仙林东路10号招商国际E城广场,118.79081480369892,32.06037417801039,5435,47.3,87.0,3,6,南北,4.0,0,满五年,中层,33.0
590,江宁麒麟科技城丹霞路19号麒麟紫荆城泉水苑,118.9172470562478,32.04678814313338,10556,95.0,90.0,3,5,南北,8.0,0,满五年,高层,34.0
591,玄武月苑墨香路30号墨香山庄,118.8303950079986,32.10316128664971,32831,348.0,106.0,3,6,南,20.0,0,满五年,高层,11.0
592,六合雄州景兰路6号古棠悦府A区,118.8392636020514,32.329941438107475,12922,115.0,89.0,3,5,南北,6.0,1,满二年,中层,20.0
593,雨花台西善桥天保桥路8号长盛东苑,118.68241247190925,31.945096498795035,12874,112.0,87.0,3,5,南北,10.0,0,满二年,中层,34.0
594,栖霞燕子矶门坡街15号弘阳燕江府,118.82242145352504,32.14039398725408,20832,260.0,124.81,4,7,南,6.0,0,满二年,中层,32.0
595,秦淮夫子庙长白街81号致和新村,118.78744916913018,32.02813943930712,27474,153.0,55.69,2,4,南北,31.0,1,,低层,7.0
596,滨江开发区谷里向阳路28号南京碧桂园丽华山苑,118.6975968483066,31.88570158219161,12636,139.0,110.01,3,6,南北,6.0,0,满二年,高层,6.0
597,浦口高新区高新路33号弘阳时光里二期,118.70689708051565,32.17986746907713,20522,126.0,61.4,2,5,南,7.0,1,满二年,高层,18.0
598,栖霞龙潭龙锦路20号江畔人家望江苑,119.06102799274912,32.17943012789422,7587,66.0,87.0,3,5,南北,8.0,0,满二年,中层,6.0
599,江宁麒麟科技城智汇路中海御山府(一期),118.90852073551864,32.02922080173259,25664,358.0,139.5,3,7,南,9.0,0,满五年,中层,7.0
600,江宁麒麟科技城智慧路蓝光睿创新筑逸璟园,118.55034085049871,31.81073147758376,21115,299.0,141.61,4,7,南北,6.0,0,满二年,低层,28.0
601,溧水溧水区仪凤南路70号御景仕家(一期),119.04415167912911,31.630720480240207,9048,95.0,105.0,3,7,南北,4.0,1,满二年,中层,18.0
602,鼓楼金陵小区金燕路金陵新七村,118.75873442831292,32.11100637137618,14738,109.0,73.96,3,5,南北,28.0,1,满五年,高层,6.0
603,六合雄州吉棠大道2号荣盛华府,118.80648900741124,32.329715336492306,13462,175.0,130.0,3,7,南北,5.0,1,满二年,高层,32.0
604,鼓楼五塘广场幕府南路230号易盛家园,118.76725112243967,32.102037445815974,19500,138.0,70.77,2,4,南北,24.0,1,,中层,18.0
605,江宁上坊万安南路9号融侨悦城,118.8759251144398,31.9603619676584,17174,205.0,119.37,3,7,南北,6.0,0,满二年,高层,31.0
606,六合大厂杨村路1号中杨新村,118.75142769114171,32.24753481255273,9375,90.0,96.0,3,6,南北,24.0,1,满五年,中层,6.0
607,秦淮瑞金路瑞金路36号瑞金新村,118.80690378321306,32.03248121054359,32955,145.0,44.0,2,4,南北,39.0,1,满五年,,5.0
608,六合龙池|虎跃东路保利观棠和府,118.80760287371572,32.30885069458635,8785,77.0,87.65,3,6,南北,4.0,1,满二年,低层,11.0
609,滨江开发区谷里东虹街东虹花苑南苑,118.7679471335773,31.867858084115884,11490,108.0,94.0,3,5,南北,19.0,0,满五年,中层,6.0
610,浦口桥北天华东路103号威尼斯水城第十五街区,118.75201398009828,32.1510978165618,14607,130.0,89.0,2,5,南北,9.0,1,满五年,高层,11.0
611,鼓楼水佐岗祁家桥14号祁家桥14号小区,118.76168878769472,32.07362678663796,30922,159.0,51.42,2,4,南北,34.0,1,,低层,6.0
612,江宁将军大道将军大道10号翠屏清华园,118.77485906462526,31.94678869965138,23530,238.0,101.15,2,5,南北,16.0,1,,中层,6.0
