ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseRoom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum
100,天河沙太南沙太南路274-320号天河北苑,113.40527266663253,22.89155055326129,25750,195.0,75.73,2,5,南北,25.0,0,,高层,9.0
101,荔湾陈家祠中山七路中山七路小区,113.2432041007627,23.12782270006824,30000,240.0,80.0,3,7,东南,4.0,1,满五年,,3.0
102,番禺南村镇南村大道越秀星汇文玺,113.40220005878196,23.02002530520921,35991,340.0,94.47,3,7,南北,5.0,0,满二年,低层,51.0
103,越秀东川中山三路125-127号金宝怡庭,113.27506375282384,23.12927465007881,60810,488.0,80.25,2,5,南北,16.0,1,,中层,31.0
104,增城朱村朱村大道东时代名著,113.74012367784736,23.281091672575904,17895,137.0,76.56,3,6,南北,8.0,0,,中层,28.0
105,天河林和林和西路155号保利中汇广场,113.31798925623887,23.151165442883578,23276,135.0,58.0,3,6,南北,13.0,1,满五年,中层,21.0
106,天河岗顶羊城路暨南花园,113.33880028859087,23.13337258512093,64357,650.0,101.0,3,6,南,29.0,1,满五年,低层,10.0
107,黄埔大沙地蟹山路48号保利学府里,113.43511836313098,23.10609089551727,46574,475.0,101.99,3,7,东南,7.0,0,,高层,36.0
108,荔湾站前路陈岗路2号陈岗路2号大院,113.24662350123752,23.14373832923563,26112,235.0,90.0,3,6,北,34.0,0,,低层,9.0
109,番禺番禺广场丰尚路68号星尚名玥花园,113.39198143115478,22.94923907455483,22737,216.0,95.0,3,6,南,7.0,0,满五年,高层,26.0
110,荔湾西关龙津东路龙津东路欧家园,113.24447536000297,23.125785419066187,29734,223.0,75.0,3,6,南北,24.0,1,满五年,中层,9.0
111,海珠万胜围太和里左十一巷琶洲新村,113.37725888554408,23.10288157167952,30738,240.0,78.08,3,7,南北,9.0,1,满五年,中层,32.0
112,花都新区宝华路路劲天隽峰,113.20760124324316,23.39383834888271,22653,220.0,97.12,3,7,南,7.0,1,满二年,低层,32.0
113,天河岗顶天河东路96-3号德欣小区,113.32941888816347,23.13393365296188,45455,400.0,88.0,3,6,南北,27.0,1,满五年,中层,8.0
114,天河岗顶石牌东路133号阳光都会广场,113.33811865045776,23.131556552346076,67376,950.0,141.0,4,8,东,18.0,1,满五年,低层,20.0
115,越秀西门口海珠中路169号海珠中路小区,113.25329443990566,23.12230922183368,28572,160.0,56.0,3,7,南北,9.0,1,满五年,低层,9.0
116,南沙黄阁市南大道时代天逸,113.5139565289968,22.82912847693087,23065,205.0,88.88,3,7,南,4.0,1,满二年,低层,32.0
117,白云嘉禾望岗白云大道北1689号岭南新世界,113.26794968070296,23.15994956553175,40771,400.0,98.11,3,6,东,14.0,1,满五年,高层,14.0
118,番禺亚运城乐羊羊路177号亚运城天珑,113.49391754124989,22.94799211504137,20695,183.0,88.43,3,6,南,2.0,0,满二年,中层,50.0
119,天河燕塘粤垦路614-624号金燕花苑,113.32388418253444,23.16036829448222,38097,365.0,95.81,3,6,南北,22.0,1,满五年,高层,26.0
