ID,houseLoc,longitude,latitude,unitPrice,housePrice,houseArea,houseBedroom,houseLivingRoom,houseBathroom,houseOrientation,houseAge,houseSubway,houseHousingPeriod,houseFloorType,houseFloorSum,subwayAround,parkAround,schoolAround,busAround,shopping_mallAround
56,"西湖之江度假区文景路,近碧波路祥生云溪新语(公寓住宅)",120.09164420504692,30.16541773303855,48451,430,88.75,3,2,2,南,6.0,1,满二年,中层,10.0,2,0,10,10,10
57,临平崇贤崇昌路悦贤里(公寓住宅),120.14985010600289,30.38372541540816,24735,219,88.54,3,2,2,南,4.0,0,满五年,中层,30.0,2,0,10,10,10
58,余杭未来科技城绿汀路中南樾府,119.97477618250969,30.27673612570847,42511,378,88.92,3,2,2,南,26.0,1,满二年,低层,23.0,2,1,7,10,10
59,滨江浦沿滨文路670号万科璞悦湾,120.13242316052776,30.172762019684892,41086,365,88.84,3,2,1,南,8.0,1,,中层,34.0,0,0,3,4,2
60,"临平星桥星都大道,近天都路沁源公寓",120.24783452327895,30.388961135142115,20784,183,88.05,3,2,2,南,5.0,1,满二年,高层,24.0,1,0,3,10,10
61,萧山开发区建设四路与通城快速路西北能建城发瞰奥府,120.28167409274887,30.209917376735035,34000,340,100,3,2,2,南,,0,,,,1,1,7,10,10
62,"西湖之江度假区枫桦东路,近枫桦西路禹洲滨之江",120.10884713272881,30.15200418077278,31719,368,116.02,4,2,2,南,5.0,0,满二年,高层,23.0,0,0,3,10,1
63,"拱墅申花莫干山路,近润园街九龙仓珑玺",120.11116019467136,30.31348873979797,54621,490,89.71,3,2,2,西南,7.0,1,满五年,高层,24.0,3,2,10,10,10
64,临平临平文正街与汀城街交汇处西房良语云缦,120.27235071371454,30.383011499131943,28515,288,101,3,2,2,南,,0,,,,0,0,2,10,10
65,滨江东冠信诚南路滨耀学府,120.17299664232625,30.163615511140538,35352,345,97.59,3,2,2,南,1.0,0,,低层,20.0,0,0,10,10,10
66,临平临平北新洲路月映咏荷园,120.27728117723656,30.44817330516848,18988,185,97.43,3,2,2,南,1.0,1,,低层,23.0,1,1,4,10,10
67,钱塘大江东新港路滨江华成大江之星,120.4764138932396,30.23601830347283,15988,140,87.57,3,2,2,南,7.0,1,满五年,高层,23.0,1,1,9,10,10
68,钱塘下沙物美万华弄8号凯德璟高府,120.33372246252699,30.313699005461157,38302,406,106,3,2,2,南,,0,,,,2,1,10,10,10
69,余杭五常文一西路822号远洋西溪公馆(公寓住宅),120.03996146747136,30.285933362693772,33528,300,89.48,3,2,1,南,4.0,0,,高层,14.0,0,0,7,10,10
70,西湖文教文一路66号白荡海人家,120.1378691711165,30.29297289858821,49236,335,68.04,3,1,1,南,36.0,1,满五年,,5.0,3,5,10,10,10
71,余杭未来科技城溪望路东原印未来,119.99054849078536,30.27124598402612,42441,400,94.25,3,2,2,南,5.0,1,满二年,低层,23.0,1,0,6,10,9
72,临平乔司翁梅街与临乔路交叉口东北侧中建潮阅尚境,120.30184768597513,30.37007195169266,22640,283,125,4,2,2,南,,0,,,,1,2,7,10,10
73,"钱塘临江经五路,近123县道东裕华庭",120.5954537483275,30.2886741839244,8192,72,87.9,3,2,1,南,8.0,0,满五年,低层,33.0,0,1,0,9,10
74,"富阳银湖美达路,近向阳路银湖新语公寓",120.15349872850119,30.37762296888901,18986,180,94.81,3,2,2,南,1.0,0,满二年,中层,9.0,2,0,8,10,10
75,萧山北干建设二路与万向路交汇处中海璞翠云集,120.27850311906299,30.20176790465196,34000,374,110,3,2,2,南,,0,,,,1,1,5,10,10
76,"西湖翠苑学院路,近文一路翠苑一区",120.12280398972952,30.287865870447874,43125,398,92.29,3,2,1,南,38.0,1,满五年,低层,6.0,2,3,10,10,10
77,上城艮北新城九和路516号地铁绿城杨柳郡,120.2351182095558,30.30319386431746,48695,470,96.52,3,2,2,南,7.0,1,满二年,高层,13.0,2,2,9,10,10
78,西湖嘉绿华星路240号嘉绿西苑,120.10610141375813,30.283208295266828,38831,372,95.8,3,2,1,南,26.0,1,满五年,中层,7.0,1,4,10,10,10
79,上城笕桥开创街滨江金色黎明(三期),120.21828121776785,30.311788844282034,41914,368,87.8,3,2,1,南,9.0,1,满二年,高层,16.0,1,1,4,10,10
80,萧山开发区建设一路花屿观澜里,120.25905322735318,30.196621932997875,35826,369,103,3,2,2,南,1.0,1,,低层,25.0,3,3,8,10,10
81,上城丁桥长虹路655号长睦邻里人家西苑,120.22822407885808,30.360798779019614,19859,180,90.64,3,2,1,南,16.0,1,满五年,中层,16.0,1,2,10,10,10
82,"上城城东新城新塘路,近明月桥路德信东望",120.22270518823306,30.29297898102916,42108,370,87.87,3,2,1,南,10.0,1,满五年,低层,16.0,3,1,7,10,10
83,"萧山新街104国道辅路,近03省道得力名望府",120.32503032431268,30.181390266861072,25109,225,89.61,3,2,2,南,7.0,1,满五年,中层,25.0,1,1,3,10,10
84,西湖之江度假区丽景路祥生云境,120.10268854203125,30.179474082785585,43808,550,125.55,4,2,2,南北,2.0,1,,低层,11.0,0,0,6,10,10
85,"萧山新街建设四路,近香樟路阳光城翡丽公园",120.32413307743258,30.201113000003136,29249,258,88.21,3,2,2,南,4.0,1,满二年,中层,26.0,0,0,0,7,10
86,钱塘金沙湖华景街383号龙湖滟澜山(茗轩),120.32252314945205,30.31371973253904,38164,325,85.16,3,2,1,南,13.0,1,满五年,低层,33.0,2,2,2,10,10
87,"拱墅汽车北站莫干山路,近留祥路雍荣华庭",120.0990606298382,30.321722476948672,40139,360,89.69,3,2,2,南,8.0,1,满五年,中层,27.0,2,1,10,10,10
88,"滨江西兴西兴路,近滨盛路滨江金茂府",120.21426265330471,30.218946974757376,73795,900,121.96,3,2,2,南,5.0,1,满二年,低层,32.0,1,4,5,10,10
89,萧山义桥时代大道6588号绿都御景蓝湾(公寓住宅),120.18230689998863,30.08506366810698,23360,205,87.76,3,2,2,南,9.0,0,满五年,低层,27.0,0,0,0,5,2
90,"余杭闲林闲富北路,近上和路西溪海听海苑",119.97513866466407,30.245437220669462,20541,184,89.58,3,2,1,南,9.0,0,满五年,低层,18.0,0,1,8,10,10
91,"余杭老余杭太炎路,近余彭路众安绿城南湖明月(公寓住宅)",119.92167609142291,30.278096239732022,20000,175,87.5,3,2,2,南,2.0,0,,高层,32.0,0,0,1,2,2
92,余杭五常高教路翡翠城(东北区),120.01636868427303,30.248174613385626,25492,228,89.44,3,2,1,南,24.0,1,满五年,低层,17.0,3,0,5,10,10
93,临平塘栖香岸路香岸华庭(公寓住宅),120.23255147833181,30.445301285863895,20539,258,125.62,4,2,2,南,3.0,0,,高层,10.0,0,0,3,6,1
94,临平星桥太平路93号惠都家园(东区),120.26385623054891,30.40008248371627,14335,118,82.32,2,2,1,南,13.0,1,满五年,低层,18.0,2,2,7,10,10
95,余杭闲林天目山西路众安学君里(公寓住宅),119.95983570395138,30.24908223781571,17304,205,118.47,3,2,2,东北,6.0,1,满五年,中层,24.0,1,0,3,10,10
96,"钱塘金沙湖幸福南路,近金沙大道望金沙",120.31633133665734,30.312941747067292,34802,350,100.57,3,2,2,南,1.0,1,,低层,26.0,1,1,3,10,10
97,滨江长河滨盛路2271号半岛国际,120.18970495681221,30.20376314790936,50701,445,87.77,3,2,2,南,10.0,1,满五年,高层,28.0,1,0,2,10,10
98,"余杭闲林闲富北路,近天目山西路竹海水韵(公寓住宅)",119.9870040444058,30.22338604066462,17126,153,89.34,3,1,1,南,12.0,0,,高层,6.0,0,1,7,10,10
99,上城笕桥开创街春来雅庭,120.20751155633079,30.31400850544582,36991,408,110.3,3,2,2,南,1.0,1,,低层,13.0,1,0,10,10,10
100,"萧山开发区飞虹路,近永晖路滨江御虹府",120.25676973281307,30.229931546706652,55141,650,117.88,4,2,2,南北,6.0,1,满二年,高层,26.0,2,1,8,10,10
101,"临平临平北东湖北路,近兴旺大道大都尚澜",120.29536723306035,30.47614013412016,14705,130,88.41,3,2,1,南,6.0,0,,高层,18.0,0,0,2,10,10
102,钱塘大江东北二路融智创城,120.48637148268648,30.314251784971866,19469,195,100.16,3,2,2,南北,2.0,1,,中层,25.0,0,1,0,3,5
103,"拱墅申花塘萍路,近拱苑路黄龙金茂悦",120.10998120828854,30.298326663071617,53845,479,88.96,3,2,2,南,8.0,1,满五年,中层,27.0,1,1,10,10,10
104,临平乔司杭海路1636号复地连城国际,120.28414795212865,30.337698991318266,20930,186,88.87,3,2,1,南,13.0,0,,高层,11.0,1,1,2,10,10
105,拱墅万达广场祥兴路禹洲宋都望林府,120.10652429316727,30.333654856863646,42393,409,96.48,3,2,2,南,1.0,1,,中层,25.0,0,1,10,10,10
106,上城丁桥建塘路沐春明月,120.20946435708822,30.350654111363013,37035,475,128.26,4,2,2,南,1.0,1,,中层,14.0,2,1,8,10,10
